term,weight
acak,0.004
acrylic,0.008
ada,0.008
adalah,0.148
adan,0.008
adat,0.004
admin,0.004
aduh,0.004
agar,0.025
agitate,0.004
ahzegh,0.004
ain,0.008
ajar,0.008
akan,0.029
akhir,0.029
akun,0.004
alam,0.008
alas,0.008
allow,0.004
along,0.008
alright,0.004
alternatif,0.004
although,0.016
aman,0.016
ambil,0.016
an,0.008
anak,0.016
anda,0.329
angin,0.004
anjing,0.008
antre,0.004
any,0.004
anyone,0.012
apa,0.045
aplikasi,0.008
appreciate,0.008
apresiasi,0.008
artis,0.012
asa,0.004
ask,0.004
astaga,0.004
atas,0.029
atau,0.062
awal,0.008
ayah,0.012
ayam,0.012
ayo,0.004
azab,0.004
baca,0.041
bagaimana,0.021
bagi,0.004
bagus,0.004
bahagia,0.004
bahasa,0.004
bahkan,0.008
baik,0.041
bajing,0.004
bakat,0.008
bandung,0.004
bang,0.004
bangga,0.004
bangkrut,0.004
bangun,0.004
banyak,0.029
bar,0.004
barking,0.012
baru,0.008
based,0.004
batey,0.004
batin,0.004
batuk,0.004
bawa,0.008
bdsm,0.004
beban,0.004
beda,0.012
begitu,0.012
bekas,0.004
beli,0.008
bells,0.004
belum,0.008
benang,0.004
benar,0.049
benci,0.016
berapa,0.016
beri,0.008
berkata,0.004
bersih,0.004
bersin,0.004
besar,0.012
betul,0.004
bicara,0.012
bimbang,0.004
bingkah,0.004
bingung,0.004
bintang,0.008
biola,0.004
bisa,0.078
bites,0.004
blames,0.004
blinding,0.004
blinking,0.004
bodoh,0.033
bohong,0.004
boleh,0.004
bom,0.008
bookmark,0.004
boomers,0.004
both,0.008
bow,0.004
breathe,0.004
buat,0.091
buka,0.008
buku,0.012
bulan,0.004
bunuh,0.021
buru,0.004
buruk,0.008
butuh,0.021
cahaya,0.004
cangkir,0.004
cantik,0.004
cara,0.025
cari,0.008
castel,0.012
cemas,0.004
cemil,0.012
cerewet,0.004
cerita,0.004
ceroboh,0.004
certain,0.008
charles,0.004
children,0.004
chip,0.004
chocked,0.004
choco,0.004
cincin,0.004
cinta,0.033
ciri,0.004
claiming,0.004
coba,0.021
colour,0.004
comes,0.004
complains,0.004
congratulations,0.004
connector,0.004
covidiot,0.004
cuci,0.004
cukup,0.004
curi,0.004
dadak,0.004
daftar,0.004
damaged,0.004
dan,0.222
dangdut,0.008
dapat,0.012
darah,0.012
dari,0.119
daripada,0.012
dasar,0.008
data,0.004
datang,0.012
deh,0.004
dek,0.008
dekat,0.008
dengan,0.041
dengar,0.008
depan,0.004
desah,0.008
describes,0.008
detail,0.004
detailed,0.004
detektif,0.004
dev,0.004
di,0.037
dia,0.037
diagnose,0.004
diangap,0.004
did,0.004
didik,0.004
dikit,0.004
diluar,0.004
dimana,0.008
dingin,0.008
diri,0.025
disamain,0.004
disini,0.07
ditaro,0.004
doesn,0.012
dogs,0.021
doing,0.008
dokter,0.008
dorks,0.004
dorm,0.008
dorong,0.008
doyan,0.004
drama,0.008
drunk,0.008
dude,0.004
duduk,0.004
duluan,0.004
dunia,0.004
duo,0.004
educates,0.004
either,0.004
ekspresi,0.004
ekstasi,0.004
elsa,0.004
emosional,0.004
emotionless,0.004
encouraging,0.008
entering,0.004
episode,0.004
etc,0.004
etika,0.004
etsy,0.004
every,0.008
faber,0.012
fakta,0.004
falls,0.004
fangirling,0.004
fantasi,0.004
far,0.004
fast,0.008
fave,0.004
favorit,0.008
film,0.004
fitzgerald,0.004
fokin,0.004
following,0.004
