term,weight
abisin,0.005
acu,0.005
ada,0.048
adan,0.005
admin,0.005
aduk,0.005
agar,0.021
ah,0.005
ajak,0.016
akan,0.021
akhir,0.016
akrab,0.005
akun,0.005
alamat,0.005
album,0.011
alis,0.005
alphard,0.005
alquran,0.005
alumunium,0.005
aman,0.011
amatir,0.005
ambil,0.021
ambyar,0.005
amin,0.011
ampun,0.011
an,0.021
anak,0.058
anda,0.122
angin,0.005
antem,0.005
apa,0.153
apas,0.011
api,0.005
asle,0.005
asli,0.042
aslik,0.005
aspal,0.011
asupan,0.005
atm,0.005
atur,0.005
aus,0.005
awal,0.005
ayah,0.021
ayam,0.011
ayman,0.005
ayo,0.037
ba,0.011
baba,0.016
babeh,0.005
baca,0.026
bagaimana,0.09
bahan,0.011
bahas,0.016
bahaya,0.005
baik,0.042
baim,0.005
baju,0.021
balas,0.011
balesnya,0.005
balik,0.011
bandung,0.016
bang,0.011
bangun,0.032
banofe,0.005
bantu,0.005
banyak,0.063
bapak,0.042
bar,0.005
baru,0.074
batal,0.005
batesan,0.005
bawa,0.037
bawah,0.005
bayang,0.005
bayangin,0.005
bayar,0.011
bayik,0.011
beda,0.005
begadang,0.005
begini,0.032
begitu,0.053
bel,0.005
bela,0.026
belabelain,0.005
belakang,0.011
beli,0.037
belum,0.005
benang,0.005
benar,0.1
benci,0.016
bendahara,0.005
bengong,0.021
bentuk,0.016
berani,0.005
beranta,0.011
berapa,0.011
berat,0.005
berduan,0.005
berisik,0.005
berita,0.005
besar,0.026
besok,0.016
betul,0.005
bhay,0.005
biadab,0.005
biarin,0.005
bias,0.011
biasa,0.021
bicara,0.026
bidang,0.005
bijaksana,0.005
bik,0.005
bikon,0.005
bilang,0.048
bingung,0.016
birkenstok,0.005
bisa,0.048
bismillah,0.011
blablabla,0.005
blog,0.005
bodoh,0.016
boleh,0.016
bom,0.021
boro,0.011
bos,0.016
bosan,0.011
brunei,0.005
buat,0.116
bubar,0.005
bucyin,0.005
budak,0.005
buka,0.021
bukan,0.026
bukber,0.005
bulan,0.032
bule,0.005
bulet,0.005
buletin,0.005
bundar,0.005
bung,0.005
buru,0.011
buset,0.011
butuh,0.005
bwat,0.005
cadanganya,0.005
cahaya,0.016
cakep,0.005
cal,0.005
campur,0.011
canda,0.005
capcay,0.005
cara,0.011
cari,0.016
cat,0.005
celaka,0.011
cemil,0.005
cepetan,0.005
cerita,0.005
cewenya,0.005
chatting,0.011
cing,0.005
cinta,0.032
cjr,0.005
coba,0.011
coboy,0.005
coi,0.011
conferensi,0.005
corona,0.005
cuci,0.005
cui,0.005
cukup,0.005
cuma,0.053
curiga,0.005
cuy,0.011
daftar,0.005
dakwah,0.005
dalam,0.005
dalgona,0.005
dapat,0.011
dar,0.005
darah,0.005
dasar,0.005
dasi,0.005
datang,0.026
degdegan,0.016
deh,0.021
dekade,0.005
dekat,0.005
dekorasi,0.005
dengar,0.011
dengerinya,0.005
dengernya,0.011
depam,0.005
depan,0.011
depok,0.011
desek,0.005
deseknya,0.005
detik,0.011
diam,0.011
dibacain,0.005
didelete,0.005
digituin,0.005
dikecilin,0.005
dikit,0.011
dikta,0.005
dilakuin,0.005
dilema,0.005
dimasakin,0.005
dinamanin,0.005
dinding,0.005
diread,0.005
diri,0.021
disiapin,0.005
ditanyain,0.005
ditemenin,0.005
doa,0.016
doang,0.063
dong,0.042
dosa,0.005
drama,0.005
duduk,0.005
dulu,0.021
duluan,0.005
dunia,0.005
duta,0.016
efek,0.005
eh,0.037
emosi,0.005
enak,0.026
enek,0.005
energi,0.005
entah,0.005
episode,0.005
eros,0.005
exited,0.005
eyang,0.021
faseh,0.005
favorit,0.011
festival,0.005
film,0.005
folbek,0.005
foto,0.032
frame,0.005
frot,0.005
fucek,0.005
gaberasa,0.005
gaditemenin,0.005
gadizinin,0.005
gaena,0.005
gaenak,0.005
gagal,0.011
gaji,0.005
gakeluar,0.005
gakepikiran,0.011
gaketemu,0.005
gakuat,0.005
gandeng,0.005
ganiat,0.005
ganti,0.005
ganyangka,0.005
ganyesel,0.005
gapaham,0.011
gapake,0.005
gapenting,0.011
gaperna,0.005
gaptek,0.005
garis,0.005
gas,0.016
gasahur,0.005
gasampe,0.005
gaselalu,0.005
gasengaja,0.005
gatidur,0.011
gausa,0.005
gebu,0.011
gedung,0.016
gejolak,0.011
gemas,0.011
gembira,0.005
gemesnye,0.005
gemini,0.032
geprek,0.005
ghoib,0.005
gila,0.026
gin,0.053
gitar,0.005
giveaway,0.005
goa,0.222
goler,0.011
goreng,0.005
gosip,0.005
gunung,0.005
guru,0.005
gusur,0.005
habis,0.048
hadiah,0.005
hadir,0.005
hai,0.032
hal,0.005
hampers,0.005
hancur,0.016
hanya,0.021
hari,0.032
haru,0.011
harus,0.016
hasrat,0.005
hati,0.026
hehehehe,0.016
hepi,0.005
hidup,0.042
hilang,0.011
hilih,0.005
hitung,0.011
hujan,0.011
hukum,0.005
ibu,0.069
ied,0.005
ih,0.011
ikut,0.011
ikuti,0.005
imsak,0.005
indah,0.005
ingat,0.011
ini,0.069
instagram,0.005
insya,0.011
iqbal,0.005
iri,0.005
isbat,0.005
isi,0.005
itu,0.063
iya,0.111
iyani,0.005
jadi,0.053
jail,0.026
jakarta,0.011
jala,0.011
jalan,0.037
jalananya,0.005
jam,0.048
jaman,0.037
jamur,0.005
janah,0.005
jarang,0.005
jatuh,0.005
jauh,0.016
jawab,0.016
