term,weight
ada,0.073
adah,0.009
afa,0.018
agar,0.009
ah,0.018
air,0.009
ajak,0.009
ajar,0.009
akan,0.009
akte,0.009
alahu,0.018
alumni,0.009
amad,0.009
aman,0.009
ambil,0.009
an,0.009
anak,0.036
anda,0.127
aneh,0.009
angi,0.009
angin,0.009
angkat,0.009
angkring,0.009
angkutan,0.009
antar,0.009
apa,0.118
arti,0.009
asik,0.009
asw,0.009
atas,0.018
atau,0.009
atiolo,0.009
atur,0.018
aurel,0.009
awal,0.009
ayah,0.009
ayam,0.027
ayo,0.045
ayudia,0.009
ba,0.018
babgke,0.009
baca,0.009
bagaimana,0.018
bagi,0.009
bagini,0.009
bagus,0.027
bahasa,0.009
baku,0.018
balada,0.009
balik,0.018
bandung,0.009
bang,0.009
bangke,0.009
bangun,0.036
banke,0.009
banyak,0.027
bapak,0.018
bar,0.018
barang,0.009
bareng,0.018
baru,0.055
batal,0.009
batang,0.009
bawa,0.036
bawang,0.009
bcs,0.009
beda,0.009
begitu,0.073
bel,0.018
beli,0.055
belum,0.009
ben,0.009
benar,0.073
benci,0.009
berak,0.018
berapa,0.009
betul,0.009
bhaha,0.009
biadab,0.009
biarpun,0.009
biasa,0.009
biji,0.009
bingung,0.009
biru,0.009
bisa,0.009
blok,0.009
bmi,0.009
bodoh,0.009
boleh,0.009
bom,0.036
boong,0.018
bosan,0.036
botuna,0.009
buah,0.009
buat,0.055
bude,0.009
buka,0.009
bukan,0.009
bukber,0.009
bulan,0.018
bulanya,0.009
bulu,0.018
bunga,0.018
buruk,0.009
butuh,0.009
butul,0.018
bwangke,0.009
cabai,0.009
cahaya,0.009
cakwep,0.009
cal,0.009
cara,0.009
cari,0.009
catur,0.009
cava,0.009
cekale,0.009
celana,0.009
cemil,0.145
cepat,0.018
ceped,0.009
cerita,0.009
cinta,0.009
co,0.018
coba,0.018
cocotmu,0.009
congratulation,0.009
corona,0.009
crot,0.009
cuk,0.009
cukup,0.018
cuma,0.009
dabu,0.018
dalam,0.009
dapat,0.018
dari,0.027
deh,0.036
dekat,0.009
deng,0.009
dengan,0.027
dengar,0.018
depan,0.018
derita,0.009
dermawan,0.009
desta,0.009
deuh,0.009
diangkot,0.009
dibalikin,0.009
dibisikin,0.009
dikosan,0.018
dini,0.009
dipaksain,0.009
diri,0.009
disakitin,0.009
ditemenin,0.009
doa,0.009
doang,0.082
dokter,0.009
dorang,0.027
dp,0.009
drama,0.009
dugem,0.009
dukung,0.009
dulu,0.055
ehe,0.009
ehehe,0.009
elizabeth,0.009
empati,0.009
enak,0.018
english,0.009
enji,0.009
episode,0.009
esma,0.009
fikiran,0.009
fitur,0.009
fizi,0.009
folowersnya,0.009
foto,0.018
gabots,0.009
gaco,0.009
gaga,0.009
ganti,0.018
gara,0.018
gelas,0.009
geprek,0.009
giat,0.009
gigi,0.009
gila,0.009
gin,0.036
goblo,0.018
gonta,0.009
goreng,0.009
gratis,0.009
guna,0.009
gurhi,0.009
guru,0.009
habis,0.045
hadiah,0.009
haduh,0.009
haha,0.036
hahahahahahahahaha,0.009
hai,0.027
halusinasi,0.009
hampa,0.009
hampir,0.009
han,0.009
hapal,0.009
hari,0.045
hati,0.018
helow,0.009
hembus,0.009
heran,0.009
herman,0.009
heu,0.018
hidup,0.036
hilang,0.018
hubung,0.009
humoris,0.018
ibadah,0.018
ibu,0.045
ika,0.009
ikan,0.009
in,0.009
indah,0.009
indomaret,0.009
indwah,0.009
info,0.009
ingat,0.018
ingin,0.036
ingus,0.009
ini,0.064
instagram,0.009
isya,0.009
itu,0.009
iya,0.082
iyah,0.009
iyain,0.009
jabat,0.009
jadi,0.109
jajan,0.009
jak,0.009
jalan,0.018
jam,0.045
jaman,0.018
jamur,0.009
jarang,0.018
jari,0.009
jatuh,0.009
jauh,0.018
jek,0.009
jelas,0.018
jijik,0.018
jin,0.009
jio,0.009
jo,0.018
jrx,0.009
jual,0.018
juara,0.009
juga,0.009
jumawak,0.009
kabar,0.018
kadang,0.009
kakek,0.009
kalau,0.109
kali,0.027
kalimat,0.009
kalipancur,0.009
kaliw,0.009
kamar,0.018
kampus,0.009
kan,0.027
kantong,0.009
kapala,0.009
kapten,0.009
karaoke,0.009
karena,0.009
karlota,0.009
karuan,0.009
kasana,0.009
kase,0.009
kasi,0.027
kasih,0.009
kata,0.018
kayah,0.009
kayak,0.027
kebab,0.009
kebord,0.009
kedip,0.009
kemarin,0.018
kembang,0.009
ken,0.045
kena,0.009
kenapa,0.036
kenyang,0.009
kenyat,0.009
kepala,0.009
keren,0.009
kerja,0.009
kesal,0.018
ketawa,0.018
ketek,0.009
ketemu,0.018
kiapa,0.009
kipas,0.009
kira,0.009
kirim,0.009
kita,0.009
koperatif,0.009
kopi,0.027
kordinasu,0.009
korek,0.018
kos,0.009
koyanya,0.009
krisdayanti,0.009
krispi,0.009
krona,0.009
kt,0.009
kue,0.018
kuliah,0.018
kurang,0.009
lagi,0.009
lagu,0.018
lah,0.018
lahan,0.009
laki,0.073
laku,0.009
lala,0.009
lalo,0.009
lalu,0.027
lama,0.009
lambene,0.009
lambung,0.009
langsing,0.009
langsung,0.018
lanjut,0.009
lapang,0.009
laporaknya,0.009
lari,0.009
lebaran,0.009
lebih,0.027
lelah,0.009
lemas,0.009
libur,0.009
lidah,0.009
lihat,0.018
lingkar,0.009
listrik,0.009
loh,0.009
lokal,0.009
loteng,0.009
luar,0.018
maaf,0.018
macam,0.009
mahasiswa,0.009
maju,0.009
makanya,0.009
makin,0.045
maksud,0.009
malah,0.036
malam,0.045
malas,0.018
maleman,0.009
malemnya,0.009
malu,0.009
mampu,0.009
mana,0.027
mandi,0.018
mangan,0.018
mangat,0.009
manis,0.009
mantap,0.009
mapronya,0.009
masa,0.009
masak,0.009
masalah,0.018
masker,0.009
maso,0.009
masuk,0.018
mata,0.018
matematika,0.018
mati,0.009
mau,0.091
memang,0.082
memberi,0.018
mendengarkan,0.009
mendung,0.009
menikah,0.018
mera,0.009
mesti,0.009
mhuahahaha,0.018
mhuehehehehe,0.009
mhuhahaha,0.009
mhuhehehehe,0.009
mie,0.009
minggu,0.018
minguan,0.027
minjem,0.018
minum,0.018
mudah,0.009
mudik,0.018
muhasabah,0.009
mui,0.009
muka,0.009
mul,0.009
mulai,0.036
mungkin,0.018
muntah,0.009
myself,0.009
nae,0.009
naek,0.009
nama,0.009
nan,0.009
napas,0.009
nasi,0.009
nasib,0.009
ndeng,0.009
ndi,0.018
nenek,0.018
ngaliyan,0.009
ngana,0.009
ngantuk,0.018
ngeliatin,0.009
ngemtout,0.009
ngentutan,0.009
ngetik,0.009
ngombe,0.009
ngomenin,0.009
ngoni,0.009
ngos,0.009
ngosan,0.009
nguyu,0.009
niko,0.009
nomor,0.009
normal,0.009
nya,0.018
nyanyi,0.009
nyata,0.018
nyebrang,0.009
nyusul,0.009
oalah,0.009
obat,0.009
