term,weight
ada,0.02
adalah,0.029
aduh,0.01
aelah,0.01
agama,0.01
agar,0.02
ah,0.01
ahelah,0.01
ahok,0.01
ajak,0.01
ajar,0.01
akan,0.039
akhir,0.02
akhlak,0.01
akuntansi,0.01
allah,0.01
alwi,0.01
ambisi,0.01
ambyar,0.01
amin,0.02
ampun,0.01
anak,0.039
anda,0.088
aneh,0.02
anjaz,0.01
anjg,0.02
apa,0.088
asli,0.029
atagfirulah,0.01
atraktif,0.01
ayah,0.01
ayam,0.02
ayo,0.029
bagaimana,0.059
bahagia,0.01
bahkan,0.01
baik,0.039
bajing,0.02
baju,0.01
bakar,0.01
ballpoint,0.01
banding,0.01
bangun,0.01
bantu,0.01
banyak,0.039
bapak,0.039
baru,0.01
bas,0.01
batuk,0.039
bau,0.01
bawel,0.01
bct,0.01
beban,0.01
begitu,0.01
bekas,0.079
bekesyong,0.01
beli,0.039
belum,0.039
benar,0.02
berani,0.01
berita,0.01
berkat,0.01
berlanganan,0.01
berterimakasih,0.01
besok,0.02
biadab,0.02
biasa,0.02
bicara,0.01
bigiti,0.01
biji,0.01
bioskopkeren,0.01
biru,0.01
bisa,0.039
bisik,0.01
bknya,0.01
bljr,0.02
blok,0.01
bodoamat,0.01
boker,0.01
boleh,0.02
bongin,0.01
bosan,0.029
br,0.01
bre,0.01
btbtbtbtbt,0.01
buat,0.02
buka,0.01
bukan,0.01
bulan,0.01
called,0.01
cangkang,0.01
cangkir,0.01
cara,0.02
catur,0.01
celana,0.01
cemil,0.01
cendana,0.01
cici,0.02
cium,0.01
cocok,0.01
ctm,0.029
cuma,0.029
dalam,0.01
dan,0.029
dapat,0.029
dari,0.02
daripada,0.029
dasar,0.01
dengan,0.01
desa,0.02
detik,0.01
di,0.049
dih,0.01
dimanasi,0.01
dipamerin,0.01
disruptif,0.01
dki,0.01
doa,0.01
doang,0.029
dong,0.01
dongengin,0.02
dua,0.01
eh,0.01
ekhem,0.01
elah,0.029
emgny,0.01
encu,0.01
esensi,0.01
esensial,0.02
eyo,0.01
far,0.01
fast,0.01
fisik,0.01
flyover,0.01
gaikutan,0.01
gambar,0.01
garuk,0.02
gatal,0.02
gel,0.01
gemas,0.01
gemesh,0.01
gera,0.01
getting,0.01
gi,0.02
gimini,0.01
gin,0.01
gmni,0.01
gmnsi,0.01
goa,0.069
gojek,0.01
gokil,0.029
goreng,0.01
gosip,0.01
grafis,0.01
guling,0.01
habis,0.029
hai,0.01
haish,0.01
hampir,0.01
hanya,0.039
hapineshit,0.01
hari,0.01
harini,0.01
harus,0.039
has,0.01
hasil,0.01
henti,0.098
hidung,0.01
hidup,0.01
hmz,0.01
hujan,0.01
humoris,0.01
ibu,0.029
ide,0.02
ih,0.01
iji,0.01
ikut,0.157
ikuti,0.098
ilingin,0.01
imtiki,0.01
ingat,0.01
ingin,0.069
ini,0.069
ipi,0.01
ish,0.01
isi,0.01
isih,0.01
itu,0.079
iya,0.098
jadi,0.118
jaga,0.01
jakarta,0.02
jalan,0.01
jam,0.01
jawab,0.01
jelek,0.01
jesus,0.01
jinyoung,0.01
jual,0.01
juga,0.02
jujur,0.029
juru,0.01
kadang,0.01
kain,0.01
kalah,0.01
kalau,0.02
kali,0.02
kamar,0.02
kamis,0.01
karena,0.029
kasi,0.01
kata,0.02
kayak,0.029
ke,0.01
kebab,0.02
kecil,0.01
keke,0.01
keluar,0.02
kemarin,0.01
kembali,0.01
kenapa,0.049
keren,0.02
kerja,0.039
kesal,0.01
ketika,0.01
kids,0.02
kira,0.01
kn,0.01
knpsi,0.01
knpsih,0.029
kolaboratif,0.01
kopi,0.01
koruptor,0.01
kotor,0.01
kritis,0.01
krying,0.01
kuda,0.01
kuis,0.01
kurang,0.02
lagi,0.059
lah,0.039
laki,0.01
laku,0.01
lama,0.01
lampu,0.01
langsung,0.01
lapar,0.01
latih,0.01
lawa,0.01
lawan,0.01
layang,0.02
lebih,0.02
legep,0.01
