term,weight
abu,0.009
ada,0.009
adab,0.009
adoh,0.009
aduh,0.009
agar,0.019
ah,0.009
ahk,0.009
akbar,0.009
akhir,0.037
ala,0.009
alami,0.009
alfriza,0.009
alias,0.028
amin,0.009
an,0.047
anda,0.272
aneh,0.009
anti,0.019
anyonk,0.009
apa,0.056
apain,0.009
api,0.009
aplg,0.009
asal,0.028
asli,0.037
astaga,0.019
atur,0.009
ayah,0.009
ayam,0.037
ayo,0.047
azka,0.009
baca,0.009
bagaimana,0.056
bahan,0.009
baik,0.019
balik,0.019
bangun,0.009
bantal,0.019
banyak,0.019
bapak,0.028
baru,0.037
bas,0.019
basi,0.009
baso,0.009
batin,0.019
bau,0.009
bedua,0.009
bege,0.009
begini,0.009
begitu,0.019
bekas,0.019
beli,0.009
beliau,0.009
belum,0.037
benang,0.009
benar,0.056
beranda,0.009
berapa,0.019
berisik,0.009
berita,0.009
berkah,0.009
besar,0.009
besok,0.037
bhahah,0.009
bhikikik,0.009
biarin,0.009
biarinin,0.009
bicara,0.009
bilang,0.009
bingung,0.019
bisa,0.019
bleaching,0.009
bletak,0.009
bletuk,0.009
blkg,0.009
bnrn,0.009
bodoh,0.009
boleh,0.019
bolu,0.009
bonceng,0.009
bos,0.009
bri,0.009
brownies,0.009
buat,0.122
budak,0.009
buka,0.037
bukan,0.019
buku,0.028
bulcit,0.009
bumbu,0.009
cahaya,0.009
cakep,0.028
cakram,0.009
cantik,0.019
cara,0.019
carin,0.009
catat,0.009
ce,0.009
cemil,0.056
cemilan,0.009
cepat,0.009
cerita,0.009
ciken,0.009
cinta,0.028
cium,0.009
coba,0.037
cocok,0.009
corona,0.019
cpt,0.009
cukup,0.009
cuma,0.009
cupu,0.009
cw,0.009
dada,0.009
damai,0.009
dan,0.009
dandan,0.009
dapat,0.037
dapetin,0.009
dari,0.019
dasar,0.028
deh,0.066
dekat,0.009
denda,0.009
dengan,0.019
detik,0.009
dewanto,0.009
di,0.019
dia,0.009
diam,0.009
dibukain,0.009
dido,0.009
dikosan,0.009
dil,0.009
dila,0.009
dimanasih,0.009
diri,0.019
dirmh,0.009
disalahin,0.009
ditangung,0.009
ditepungin,0.009
ditingalin,0.009
dn,0.009
doa,0.019
dom,0.009
dong,0.019
drama,0.009
dufan,0.019
dukung,0.009
dulu,0.047
dunia,0.028
earphone,0.009
eh,0.009
en,0.019
enak,0.028
erel,0.009
fakboi,0.009
fast,0.009
fizi,0.019
foto,0.056
gabaca,0.009
gakuat,0.009
gamake,0.009
game,0.009
ganti,0.047
gapuasa,0.009
gasalah,0.019
gbk,0.009
gibahin,0.009
gila,0.094
gilir,0.009
gimanasih,0.009
gin,0.028
gitudeh,0.009
goa,0.094
gojekin,0.009
gondrong,0.009
goreng,0.028
gosah,0.019
gosend,0.009
gosip,0.019
gunung,0.009
habis,0.028
hafal,0.009
