term,weight
acara,0.007
ada,0.02
adalah,0.007
adan,0.013
adi,0.007
admin,0.013
aelah,0.007
agar,0.013
air,0.013
ajak,0.007
ajar,0.007
akad,0.007
akamsi,0.007
akan,0.02
akhir,0.04
akhire,0.007
akhlak,0.007
akun,0.007
alat,0.007
alias,0.033
alkohol,0.007
ambil,0.013
ambyar,0.007
amin,0.027
ampuh,0.007
an,0.02
anak,0.013
ancol,0.007
anda,0.093
android,0.007
aneh,0.013
antem,0.007
anterin,0.007
apa,0.14
apansih,0.007
apatuh,0.007
apel,0.007
arti,0.007
asam,0.007
asli,0.013
astaga,0.013
astral,0.007
atas,0.007
aware,0.007
ayah,0.007
ayo,0.073
ba,0.02
babak,0.007
babi,0.007
baca,0.013
backpackeran,0.007
badan,0.013
bagai,0.013
bagaimana,0.04
bagus,0.02
bahagia,0.007
bahas,0.02
bahasa,0.013
bahkan,0.02
baik,0.047
bajing,0.013
bakso,0.007
balik,0.027
balikin,0.007
bang,0.007
bangun,0.007
bantu,0.007
banyak,0.047
banyu,0.007
bapak,0.067
bareng,0.027
baru,0.04
bata,0.007
batu,0.007
bawa,0.013
bayi,0.007
bebas,0.007
beberapa,0.007
beda,0.033
bedak,0.007
begini,0.013
begitu,0.053
bele,0.007
beli,0.033
belum,0.04
ben,0.013
benang,0.007
benar,0.073
beranda,0.007
berani,0.007
beranta,0.007
berapa,0.007
beraq,0.007
berat,0.013
bersih,0.007
besar,0.007
besok,0.02
bestie,0.007
betah,0.007
betul,0.007
bi,0.007
biasa,0.027
bicara,0.02
bikos,0.007
bilang,0.027
bingung,0.007
biru,0.007
bisa,0.027
bismillah,0.013
blackberry,0.007
blak,0.007
blakan,0.007
blaster,0.007
blok,0.007
bo,0.013
bodoamat,0.007
bola,0.007
bolak,0.007
boleh,0.02
bom,0.013
borjuis,0.007
boros,0.007
bosan,0.007
brengsek,0.007
brewok,0.007
bsd,0.013
buah,0.013
buang,0.007
buat,0.133
bubur,0.007
buk,0.013
buka,0.053
bukan,0.02
bukane,0.007
bulan,0.027
bulu,0.007
bunuh,0.007
buru,0.013
butuh,0.027
canda,0.007
capai,0.007
cara,0.013
cares,0.007
cari,0.013
cemil,0.067
centang,0.007
cerdas,0.007
cerewet,0.007
chatmu,0.007
cikarang,0.007
cinta,0.013
ck,0.007
coba,0.007
cok,0.007
cukup,0.013
cuma,0.033
dada,0.007
dadak,0.007
daftar,0.007
daging,0.007
dal,0.007
dalam,0.027
damai,0.007
dan,0.02
dapat,0.02
