term,weight
abah,0.007
ac,0.007
acak,0.007
ada,0.036
adalah,0.066
adam,0.007
adi,0.007
admin,0.007
agar,0.022
agung,0.015
ajar,0.007
akan,0.029
akehe,0.007
akhir,0.08
akhire,0.007
akhlaqnya,0.007
alam,0.015
alarm,0.015
alas,0.007
alasan,0.007
alright,0.007
aman,0.007
ambil,0.051
ambulans,0.007
amburadul,0.007
ambyar,0.007
amin,0.015
an,0.007
anda,0.117
andai,0.015
aneka,0.007
anime,0.015
anti,0.015
apa,0.138
apalagi,0.007
aplikasi,0.007
ar,0.007
arek,0.007
arep,0.007
arti,0.022
atas,0.022
atid,0.007
ayah,0.007
ayam,0.007
ayo,0.08
baca,0.022
badas,0.007
bagai,0.015
bagaimana,0.08
bagi,0.036
bagus,0.029
bahagia,0.007
bahasa,0.058
bahkan,0.022
baik,0.08
baim,0.007
balas,0.015
balesnya,0.007
balik,0.015
bambank,0.007
bana,0.007
bangkit,0.007
bangun,0.007
bantu,0.015
banyak,0.058
bapak,0.015
baru,0.029
bawa,0.015
bayar,0.007
beberapa,0.015
begini,0.015
begitu,0.087
behind,0.007
bek,0.007
belah,0.007
beli,0.015
belok,0.007
belum,0.007
ben,0.007
benar,0.015
bengi,0.007
beranda,0.007
berapa,0.036
berat,0.015
beri,0.022
berita,0.007
bermanfat,0.007
bersih,0.007
besar,0.022
betapa,0.007
betul,0.007
biasa,0.058
biasane,0.007
bicara,0.007
bilang,0.007
binar,0.007
bisa,0.022
blooming,0.015
boba,0.015
bosan,0.029
boyz,0.007
brgkat,0.007
buah,0.007
buat,0.051
budal,0.022
budhal,0.007
bukan,0.007
bukane,0.007
bukankah,0.007
buku,0.015
bulan,0.007
bunga,0.007
butuh,0.058
cabai,0.007
cahaya,0.007
capai,0.007
captione,0.007
cara,0.022
carane,0.007
cari,0.007
cekel,0.007
celaka,0.007
cemil,0.007
cerita,0.029
cim,0.007
cinta,0.036
coba,0.015
cobaen,0.007
contoh,0.007
corel,0.007
corona,0.044
cr,0.015
cua,0.007
cukup,0.007
cuma,0.022
daerah,0.007
daftar,0.007
dalam,0.007
damai,0.007
dan,0.022
dapat,0.022
dari,0.058
daripada,0.015
datang,0.007
deh,0.007
dekat,0.007
deloke,0.007
dengan,0.022
dengar,0.022
depan,0.015
dept,0.007
desain,0.073
developer,0.007
dewa,0.007
di,0.022
dia,0.029
diam,0.007
dibawain,0.007
digowo,0.007
dikit,0.015
dikomeni,0.007
dipangil,0.007
diri,0.029
diskusi,0.007
doank,0.007
dolar,0.007
dong,0.036
dorawajwo,0.007
dosa,0.007
drama,0.015
dramane,0.007
ds,0.007
duduk,0.015
dukgu,0.007
dulu,0.044
dunia,0.007
durung,0.015
dusta,0.007
efek,0.022
ekor,0.007
elite,0.007
enak,0.015
endi,0.007
enek,0.015
engko,0.007
entah,0.022
episode,0.007
eruh,0.007
facebook,0.007
fast,0.007
fisik,0.007
fokus,0.007
forum,0.007
foto,0.029
friends,0.007
gadget,0.007
gakpapa,0.007
galeri,0.007
gambar,0.007
ganti,0.022
gara,0.036
gas,0.029
gegas,0.007
gejolak,0.007
gelap,0.015
geleng,0.007
gelut,0.007
gercep,0.007
ghibahan,0.007
gila,0.007
gin,0.007
gizi,0.007
goals,0.007
golekno,0.007
gombal,0.015
google,0.007
gosip,0.007
gov,0.007
gratis,0.007
grup,0.007
gulmi,0.007
guru,0.007
guyon,0.007
habis,0.036
haha,0.015
hai,0.007
hal,0.007
hanya,0.022
hardest,0.007
hardwork,0.007
hari,0.051
harta,0.022
haru,0.007
harus,0.015
hati,0.007
hebat,0.007
heboh,0.007
hed,0.007
heidy,0.007
heran,0.015
hidup,0.015
hilang,0.015
hingga,0.007
hitam,0.007
hits,0.007
hitung,0.007
hiya,0.007
homescren,0.007
hormat,0.007
hubung,0.007
hujan,0.007
hyun,0.007
ibu,0.036
ibukota,0.007
ijinkan,0.007
ikhlas,0.007
iku,0.015
ikut,0.051
ileng,0.007
ilengku,0.007
ilmu,0.015
in,0.029
indomaret,0.007
indonesia,0.015
info,0.015
ingin,0.007
ingris,0.015
ini,0.095
instagram,0.015
integritas,0.007
iseltwald,0.007
isi,0.007
isine,0.007
iso,0.022
isolah,0.007
istirahat,0.007
itaewon,0.022
itu,0.095
iya,0.109
iyes,0.015
jabat,0.007
jadi,0.138
jaga,0.007
jah,0.007
jail,0.007
jakarta,0.007
jalan,0.036
jalar,0.007
jam,0.029
jaman,0.007
janji,0.007
jantung,0.007
jarak,0.007
jatim,0.007
jatuh,0.007
jauh,0.022
jawab,0.007
jelas,0.015
jenenge,0.007
jepang,0.036
jerman,0.022
ji,0.007
jika,0.015
jiwa,0.007
jo,0.007
jojo,0.007
juelas,0.007
jujur,0.007
julid,0.007
jumat,0.007
jungkir,0.007
juni,0.007
jurus,0.007
kabar,0.007
kabeh,0.015
kacamata,0.007
kadang,0.022
kait,0.007
kalau,0.073
kalender,0.007
kali,0.007
kalimat,0.007
kamis,0.007
kan,0.044
kanan,0.007
kapten,0.015
karakter,0.007
karya,0.015
kasih,0.044
kasus,0.007
kaum,0.007
kayak,0.015
ke,0.007
kecil,0.022
kejut,0.007
kelakuanya,0.007
kelas,0.066
kelebihane,0.007
kemarin,0.007
kembali,0.044
kemudian,0.007
ken,0.036
kena,0.015
kenal,0.007
kenapa,0.029
kene,0.007
kepala,0.007
kepincut,0.007
kerja,0.051
kerjo,0.029
kerjoan,0.007
kertas,0.007
kesini,0.007
ketawa,0.015
ketemu,0.022
ketika,0.007
ketinggalan,0.007
ketrampilan,0.051
khusus,0.007
kiki,0.007
kira,0.007
kisah,0.015
kita,0.015
knows,0.007
kombinasi,0.007
komp,0.007
komunikasi,0.007
konco,0.015
kondisi,0.007
konsep,0.015
konser,0.007
konten,0.007
kopi,0.015
korban,0.007
korea,0.007
korsel,0.007
kosong,0.015
kota,0.007
kresek,0.007
krungu,0.007
kualitas,0.007
kuangen,0.007
kuatir,0.007
kudune,0.007
kuliah,0.007
kumpul,0.007
kunci,0.015
kurang,0.007
kurs,0.007
kuwi,0.015
kyke,0.007
kyknya,0.015
lagi,0.022
lagu,0.058
lagune,0.007
lah,0.029
lain,0.022
lak,0.007
laki,0.036
laku,0.007
lali,0.022
lama,0.022
lamongan,0.007
langit,0.029
langsung,0.007
lapar,0.007
lapor,0.015
lari,0.015
latih,0.007
lawak,0.007
layar,0.007
le,0.007
lebih,0.029
ledak,0.007
leher,0.007
lekas,0.007
lelah,0.022
lembut,0.015
lenka,0.007
les,0.015
leto,0.007
lewat,0.007
lho,0.007
li,0.022
libur,0.007
lihat,0.036
lingkung,0.007
link,0.007
lipat,0.007
listened,0.007
listrik,0.007
lockdown,0.015
lockscren,0.007
logo,0.007
loh,0.007
lombok,0.007
loves,0.007
loyality,0.007
luar,0.029
lucu,0.007
lupa,0.022
maaf,0.007
macam,0.007
mahal,0.007
maju,0.015
makane,0.029
makin,0.015
malah,0.015
malam,0.044
malu,0.022
mana,0.022
mandarin,0.007
manis,0.007
mantengin,0.007
mantul,0.007
manusia,0.015
marathon,0.007
masak,0.007
masuk,0.007
mata,0.007
matahari,0.007
matematika,0.007
mati,0.015
mau,0.058
mayan,0.007
mbaca,0.007
mbah,0.022
mbahas,0.022
mbake,0.007
mbank,0.015
mbatin,0.007
mbendino,0.007
mboh,0.015
mbok,0.007
melek,0.007
melu,0.007
memang,0.022
memangil,0.007
mendengarkan,0.007
meni,0.007
menikah,0.007
mentega,0.007
menu,0.015
