term,weight
acara,0.015
acuanya,0.015
ada,0.103
aduh,0.015
agama,0.015
agar,0.015
ahli,0.015
ajar,0.03
akhir,0.015
alus,0.015
aman,0.015
ambil,0.015
amin,0.044
amjinck,0.015
ampun,0.03
anda,0.089
antar,0.03
apa,0.044
apapa,0.015
apart,0.015
apas,0.015
arab,0.03
arus,0.015
astaga,0.015
awal,0.015
awi,0.015
ayam,0.015
ayo,0.118
baca,0.044
bagaimana,0.03
bagus,0.044
bahasa,0.133
balas,0.015
balik,0.015
bang,0.044
bangun,0.015
banyak,0.015
bareng,0.03
beberapa,0.03
beda,0.015
bedebah,0.015
begini,0.015
begitu,0.103
belanda,0.015
beli,0.03
benar,0.044
berapa,0.015
berseason,0.015
besok,0.03
betapa,0.015
betol,0.015
biasa,0.044
bilang,0.044
biodiv,0.015
biodiversitas,0.015
biologi,0.03
biru,0.015
bisa,0.015
bodoh,0.015
boleh,0.03
bom,0.015
born,0.015
bosan,0.015
buat,0.03
bukan,0.015
bulan,0.044
cahaya,0.015
cemil,0.044
cerita,0.015
chahun,0.015
cinta,0.044
coba,0.015
cukup,0.015
cuma,0.044
curang,0.015
da,0.015
dalam,0.015
dalbum,0.015
daling,0.03
dan,0.015
deh,0.044
dengan,0.059
dengar,0.015
depan,0.03
di,0.044
dia,0.03
diam,0.015
dicarin,0.015
dilupain,0.015
dinding,0.015
dinget,0.03
diruma,0.015
disuruh,0.015
doa,0.015
doang,0.044
dompet,0.015
dong,0.015
drama,0.015
duka,0.015
dulu,0.015
enak,0.015
epen,0.015
fadil,0.015
filsafat,0.015
fitri,0.015
five,0.015
fokusin,0.015
foto,0.03
gajelas,0.015
gakuat,0.03
galiat,0.015
gam,0.015
gamntenk,0.015
ganti,0.015
gantung,0.015
gapaham,0.059
gaperna,0.015
gaya,0.015
gelas,0.015
gemas,0.044
geurom,0.015
gin,0.074
gumush,0.015
hadilan,0.015
hafal,0.015
hai,0.015
haid,0.015
hanya,0.03
hari,0.044
harus,0.03
hawa,0.015
hidup,0.044
hingga,0.015
homesicknya,0.015
humoris,0.044
hyuk,0.015
ibu,0.118
ih,0.015
iii,0.015
ikut,0.059
ikuti,0.015
in,0.133
indah,0.015
ingat,0.015
ini,0.074
islam,0.015
islami,0.015
istigfar,0.015
istirahat,0.015
item,0.015
itu,0.074
iya,0.118
jadi,0.074
jadwal,0.015
jajanin,0.015
jala,0.015
jalan,0.03
jalja,0.015
jam,0.089
jamjam,0.015
janji,0.015
januari,0.015
jatuh,0.015
jawa,0.059
jeans,0.015
jeda,0.015
jerome,0.015
jo,0.015
jodoh,0.03
jstor,0.015
juancuk,0.015
juga,0.015
jundi,0.015
jung,0.015
juta,0.015
kaki,0.015
kalau,0.044
kan,0.015
kapan,0.015
karena,0.03
kasar,0.015
kata,0.015
kelam,0.015
kelas,0.059
kemarin,0.044
kenal,0.015
kenapa,0.118
kenyang,0.015
keren,0.015
kerja,0.015
kerudung,0.015
keselek,0.015
kibord,0.015
kira,0.015
kita,0.015
kola,0.015
konservasi,0.015
korea,0.015
kriteria,0.015
kucing,0.044
kulo,0.015
kyung,0.015
laki,0.118
laku,0.015
lanjut,0.03
laprak,0.015
laptop,0.015
lathi,0.015
latih,0.015
lebih,0.044
lelah,0.015
lembab,0.015
les,0.03
lihat,0.015
ling,0.015
lingkar,0.015
lolos,0.015
lulus,0.015
lupa,0.015
mahamin,0.015
makas,0.015
makin,0.015
makinmakin,0.015
malam,0.03
malang,0.015
malu,0.015
mana,0.03
mandiri,0.015
mangil,0.015
masmas,0.015
masuk,0.015
masyarakat,0.015
mata,0.03
materi,0.015
mati,0.015
matkul,0.03
mau,0.118
mboten,0.015
mei,0.015
melihara,0.015
memorist,0.015
menang,0.015
menemani,0.015
meng,0.044
mereka,0.015
minder,0.015
minggu,0.015
miyona,0.015
muda,0.015
muka,0.015
muncul,0.015
mungkin,0.03
murah,0.03
musuh,0.015
nada,0.015
nah,0.015
nam,0.015
nama,0.015
namatin,0.015
nang,0.015
negeri,0.015
ngapunten,0.015
ngedrakor,0.03
ngelaprak,0.015
ngertos,0.015
ngetiknya,0.015
noice,0.015
notifnya,0.015
nya,0.044
nyata,0.044
nyenyak,0.015
obrol,0.015
oke,0.044
orang,0.015
pacar,0.03
padahal,0.015
pagi,0.015
paha,0.015
paham,0.015
pakai,0.03
pamit,0.015
pandang,0.015
pantau,0.015
pelan,0.015
pengirim,0.133
pergi,0.03
periksa,0.015
pernah,0.015
pesantren,0.015
pikir,0.089
pin,0.015
pkpba,0.015
pokok,0.044
pramuka,0.015
pria,0.015
pribadi,0.03
privatin,0.015
puasa,0.03
pulang,0.03
puol,0.015
putra,0.015
rabu,0.015
ramadan,0.015
rangkumanya,0.015
rawan,0.015
rcti,0.015
relasi,0.015
rem,0.015
rindu,0.03
rol,0.015
rumah,0.015
sahur,0.015
saja,0.133
sakit,0.015
salam,0.015
sama,0.074
sambat,0.015
sambil,0.03
sampai,0.162
samper,0.015
sana,0.03
sari,0.015
satu,0.015
saudara,0.192
saya,0.325
sby,0.015
sciencedirect,0.015
sebuah,0.03
sedang,0.015
sedih,0.03
sehat,0.015
sejak,0.015
sekali,0.251
sekolah,0.015
selalu,0.015
selamat,0.03
semangat,0.03
sembap,0.015
semester,0.015
sempol,0.015
semua,0.015
sendiri,0.044
senganya,0.015
seperti,0.148
september,0.03
sering,0.044
seru,0.044
sesap,0.015
set,0.015
setuju,0.015
shalat,0.015
si,0.074
siang,0.015
siapa,0.015
sibuk,0.03
sila,0.015
singa,0.015
sini,0.089
sinisini,0.015
sinyal,0.015
situ,0.015
soal,0.044
sprite,0.015
stiker,0.015
sudah,0.251
suka,0.059
sule,0.015
summertime,0.015
sumpah,0.015
syukur,0.015
tagih,0.015
tahu,0.059
