term,weight
aciel,0.013
ada,0.013
adalah,0.051
adegan,0.013
admin,0.026
aduh,0.026
agar,0.038
ah,0.013
aigo,0.013
air,0.013
akal,0.013
akh,0.013
akhir,0.09
alat,0.013
almamater,0.013
amal,0.013
aman,0.09
ambal,0.013
ambyar,0.026
amin,0.026
ampun,0.013
anak,0.064
anda,0.231
aneh,0.013
anyeong,0.013
apa,0.167
arek,0.013
arinda,0.026
arti,0.013
arus,0.026
asa,0.013
astaga,0.013
asuransi,0.013
atek,0.013
atom,0.013
awak,0.013
awal,0.013
ayam,0.026
ayo,0.115
baca,0.026
bacae,0.013
bagaimana,0.051
bagi,0.013
bahagia,0.064
bahan,0.013
bahkan,0.013
baik,0.051
bakpia,0.013
bangga,0.026
bantu,0.013
banyak,0.038
bapak,0.026
bareng,0.013
baru,0.064
basa,0.013
basi,0.013
batuk,0.013
bawa,0.026
bayangin,0.013
bayi,0.013
beda,0.013
begitu,0.038
beli,0.013
beliau,0.038
belum,0.013
ben,0.026
benar,0.026
bengok,0.013
beri,0.013
berita,0.013
berkat,0.013
besar,0.038
besok,0.013
betapa,0.013
biadab,0.077
biasa,0.013
bisa,0.026
bosan,0.013
both,0.013
buat,0.077
bukan,0.026
bulan,0.026
bunda,0.026
burger,0.013
butuh,0.013
cahaya,0.026
capcipcup,0.013
cara,0.013
carane,0.013
cari,0.026
cc,0.013
cekidot,0.013
cemil,0.038
cepat,0.038
chingu,0.013
cici,0.026
cinta,0.013
coaster,0.013
combo,0.013
coment,0.026
complaining,0.013
corona,0.026
counting,0.013
dadi,0.026
dan,0.026
dapat,0.026
dari,0.064
daripada,0.013
datang,0.013
dedeq,0.013
dek,0.026
dermaga,0.013
di,0.051
dia,0.013
diapers,0.013
did,0.013
didik,0.013
dik,0.013
dingin,0.013
diri,0.026
divc,0.013
doa,0.013
dolan,0.013
dong,0.077
donlod,0.013
dua,0.013
dulu,0.026
dulur,0.013
egois,0.013
eh,0.038
ehem,0.013
empi,0.026
enggan,0.026
entah,0.051
enzy,0.013
erti,0.013
es,0.013
evaluasi,0.013
fansnya,0.013
favorit,0.013
fd,0.013
fokus,0.013
friends,0.013
gandolan,0.013
ganti,0.038
gara,0.013
garap,0.013
gel,0.013
gemas,0.013
gendong,0.013
ges,0.013
gibah,0.013
gilir,0.013
gin,0.038
gincu,0.013
goreng,0.013
gumbulono,0.013
gundah,0.013
gupuh,0.013
habis,0.013
haha,0.026
hai,0.013
