term,weight
ada,0.011
adha,0.005
adin,0.011
admin,0.005
adsnya,0.005
aduh,0.027
agar,0.027
agung,0.016
agunk,0.005
ah,0.011
ajar,0.011
akademis,0.011
akan,0.027
akhir,0.011
akun,0.005
alas,0.005
alasan,0.005
alias,0.005
amal,0.005
ambil,0.005
ambyar,0.005
ampun,0.005
an,0.005
anak,0.011
anda,0.125
andry,0.005
aneh,0.054
anjg,0.005
apa,0.141
aplg,0.005
apsih,0.005
argh,0.005
arti,0.005
asal,0.005
astaga,0.005
ayo,0.027
ayoayoayo,0.005
baca,0.016
bagaimana,0.043
bagus,0.011
bahahahahahaha,0.005
bahasa,0.011
baik,0.043
bain,0.005
balas,0.005
balik,0.005
bangga,0.005
bantu,0.005
banyak,0.022
baru,0.022
batal,0.005
batas,0.005
bawel,0.005
bayar,0.005
beban,0.005
beda,0.005
begini,0.005
begitu,0.065
behel,0.005
bela,0.005
belah,0.005
beli,0.005
belum,0.038
benang,0.005
benar,0.022
benci,0.011
berat,0.005
berita,0.016
bertemu,0.005
besar,0.005
besok,0.005
bgtbgtbgt,0.005
bh,0.005
biasa,0.011
bibel,0.005
bilang,0.011
bimbing,0.005
bingung,0.011
biru,0.005
bisa,0.038
blackpink,0.005
blajar,0.005
blh,0.005
bljr,0.016
blok,0.011
blon,0.011
bnr,0.011
bnran,0.005
bnrn,0.016
bobok,0.005
bodoh,0.016
boleh,0.005
bongin,0.005
bos,0.005
br,0.005
buat,0.109
buka,0.005
bukan,0.022
buku,0.005
bulan,0.027
bumper,0.005
buset,0.005
butuh,0.016
byarnya,0.005
cacat,0.005
cahaya,0.016
campur,0.005
casetify,0.005
celah,0.005
celaka,0.005
cemburu,0.005
cemil,0.016
cerita,0.027
cermin,0.011
cetak,0.005
ceue,0.005
cfd,0.005
cfdan,0.005
chatnya,0.005
cil,0.005
cinta,0.011
cipeng,0.011
cmb,0.005
coas,0.005
coba,0.011
congor,0.005
contoh,0.005
copas,0.005
corona,0.027
cowonya,0.005
cpt,0.005
cukup,0.005
cuman,0.043
curiga,0.005
dapat,0.016
daren,0.005
dari,0.033
deh,0.065
dekat,0.011
dempet,0.011
dengan,0.005
depan,0.005
derita,0.005
dgrin,0.011
dia,0.022
diam,0.022
diangep,0.005
dibebasin,0.005
diblg,0.005
dichat,0.005
dicubitin,0.005
didik,0.005
diemin,0.005
digituin,0.005
dih,0.005
dil,0.005
dimana,0.005
dinaikin,0.005
dinda,0.005
dinding,0.005
dinyanyin,0.005
diopik,0.005
dipangil,0.005
diread,0.005
diselingkuhin,0.005
disepelein,0.005
doang,0.005
dokter,0.033
dong,0.016
dosen,0.022
drama,0.011
drtd,0.005
dtgbulan,0.005
duduk,0.005
dulu,0.054
duluan,0.011
dunia,0.011
dzikir,0.005
edit,0.005
edukasi,0.005
eh,0.005
ekonomi,0.005
enak,0.005
enek,0.005
facebook,0.005
fadil,0.005
fauziah,0.005
fdl,0.011
fdlhm,0.005
fisik,0.005
folw,0.005
format,0.005
gabaik,0.005
gablh,0.005
gadapet,0.005
gadikasih,0.005
gadis,0.016
gaenak,0.011
gajelas,0.022
gaji,0.011
gamungkin,0.005
gangerti,0.005
ganti,0.005
gapentingin,0.005
garis,0.005
gasayang,0.005
gaung,0.033
gemas,0.005
gigi,0.022
gila,0.011
gin,0.011
gjls,0.005
gpnya,0.011
gracia,0.005
grafik,0.005
gratis,0.005
gtaunya,0.005
gulung,0.005
habis,0.033
hadeu,0.005
hadir,0.005
hahahahahaha,0.005
hahahahahahahaha,0.005
hahahahahahahahahaha,0.005
hahahihi,0.011
hahahihinya,0.005
hai,0.016
haid,0.011
hak,0.005
hancur,0.005
hanya,0.016
harga,0.005
hari,0.005
harus,0.011
hasil,0.005
hati,0.005
heboh,0.005
henti,0.011
hidup,0.016
hih,0.005
hnya,0.005
hormat,0.005
hrsnya,0.005
huah,0.011
hubung,0.011
huf,0.005
humoris,0.022
hwah,0.005
hwehehweh,0.005
iboek,0.011
ibu,0.033
ica,0.005
