term,weight
aa,0.011
abu,0.023
ada,0.101
adam,0.011
air,0.034
akan,0.023
akhir,0.011
akun,0.011
alahu,0.011
alis,0.011
allah,0.011
alo,0.011
aman,0.011
ampuh,0.011
an,0.011
anak,0.011
anda,0.237
aneh,0.034
ap,0.011
apa,0.079
apalu,0.011
asah,0.011
asik,0.023
asli,0.023
awal,0.011
ayo,0.034
babras,0.034
baca,0.045
badai,0.011
bagaimana,0.023
bagus,0.045
bahan,0.011
baik,0.056
bajing,0.011
balik,0.034
balon,0.011
banya,0.011
banyak,0.056
bareng,0.023
bau,0.011
baut,0.034
bawa,0.011
bayiknya,0.011
bebas,0.011
beberapa,0.023
beda,0.011
begini,0.023
begitu,0.101
belum,0.023
benar,0.034
benda,0.011
ber,0.011
beranda,0.011
beranta,0.011
berapa,0.023
berita,0.011
bersih,0.011
bertahanya,0.011
bertemu,0.011
beruang,0.011
beruntus,0.011
besar,0.011
besok,0.034
biadab,0.011
biancanya,0.011
biasa,0.011
bibir,0.023
bien,0.011
bilang,0.011
biru,0.023
bisa,0.045
bleachnya,0.011
bodoh,0.011
boleh,0.034
boltnya,0.011
boros,0.011
botak,0.011
bous,0.011
bpom,0.034
brkumur,0.011
btul,0.011
buat,0.09
buaya,0.023
buka,0.056
bukan,0.023
bulan,0.011
bulir,0.023
bulumata,0.011
buntut,0.011
burung,0.023
busa,0.011
bused,0.011
cabut,0.011
cakeup,0.011
campur,0.023
canda,0.011
canin,0.011
cantik,0.034
capani,0.011
cara,0.011
cari,0.011
cat,0.011
cemil,0.023
cepat,0.011
cerewet,0.011
cerita,0.011
chacha,0.011
chu,0.011
cili,0.011
cimol,0.011
cinta,0.023
claimnya,0.011
cleanser,0.011
cloe,0.011
cngtip,0.011
co,0.011
coba,0.079
cocok,0.011
cuci,0.023
cukur,0.011
cultusia,0.011
cuma,0.011
dakyung,0.011
darah,0.023
daripada,0.023
debat,0.011
dech,0.011
detik,0.011
developer,0.023
dewe,0.011
di,0.011
diagnosaku,0.011
diam,0.011
diare,0.011
dicomblangin,0.011
dijajanin,0.011
dikit,0.011
dinding,0.011
dingetin,0.011
ditambahin,0.011
dokter,0.011
dulu,0.09
eh,0.011
emina,0.011
emosi,0.011
enak,0.011
epik,0.011
ering,0.011
facial,0.011
film,0.011
flash,0.011
fliz,0.011
foto,0.011
gabung,0.011
gacocok,0.011
gaisok,0.011
ganti,0.079
gantung,0.011
gatal,0.011
gaul,0.011
gemoy,0.011
gigi,0.023
giginy,0.011
gila,0.011
gin,0.056
godzila,0.011
gosok,0.011
gratis,0.011
grooming,0.011
gugup,0.023
gunting,0.011
gws,0.011
habis,0.068
hadalabo,0.023
hadap,0.011
hai,0.045
haid,0.034
hamil,0.011
hantu,0.023
hanya,0.011
hari,0.034
harum,0.011
herek,0.011
hewan,0.011
hijau,0.023
himalaya,0.011
hoby,0.011
hologram,0.011
hontu,0.011
hubung,0.023
humoris,0.011
hydrating,0.011
ibu,0.023
ih,0.034
ijonya,0.011
ikod,0.011
iku,0.011
ikut,0.011
ilmu,0.011
in,0.011
ingin,0.011
ingredients,0.011
ini,0.045
insom,0.011
instagram,0.023
itu,0.034
iya,0.101
jadi,0.079
jaga,0.011
jarang,0.011
jawab,0.023
jelasin,0.023
jual,0.011
juga,0.023
jurnal,0.011
kadang,0.011
kais,0.011
kakean,0.011
kalau,0.124
kali,0.011
kandung,0.023
kapas,0.023
kasi,0.011
kasin,0.011
kasur,0.011
kasure,0.011
kata,0.011
kati,0.011
kecoa,0.011
kecoanya,0.011
kejut,0.011
kekuranganya,0.011
keluar,0.011
kembar,0.011
kemudian,0.011
kena,0.023
kenapa,0.135
kepleset,0.011
kepotek,0.011
keran,0.023
kering,0.056
