term,weight
aa,0.01
acak,0.01
ada,0.02
adi,0.01
admin,0.01
aduh,0.01
agar,0.02
ah,0.01
aib,0.01
ajak,0.01
ajar,0.01
ajimat,0.01
akan,0.02
akhir,0.01
akhlakles,0.01
akyu,0.01
alam,0.02
alas,0.01
album,0.01
amat,0.01
ambe,0.029
ampun,0.01
anak,0.02
anda,0.128
anemia,0.049
anjenk,0.02
anjret,0.01
anti,0.01
apa,0.177
arek,0.02
arti,0.039
artikel,0.01
asli,0.049
astaga,0.02
atas,0.02
awal,0.01
ayam,0.01
ayo,0.098
babak,0.01
baca,0.02
bagai,0.01
bagaimana,0.029
bahaya,0.01
bahu,0.01
baik,0.029
bajing,0.02
bakso,0.029
baligh,0.01
banyak,0.029
bapak,0.029
barang,0.01
baru,0.059
batu,0.01
batuk,0.01
bawa,0.01
bayangno,0.02
beda,0.01
begini,0.01
belah,0.01
beliau,0.01
benar,0.02
benci,0.01
bengi,0.01
beranda,0.01
berita,0.01
besi,0.069
biasa,0.029
bibit,0.01
bicara,0.01
bien,0.02
bilang,0.01
bisa,0.02
bku,0.01
bodoh,0.01
boleh,0.01
bom,0.01
bor,0.01
bos,0.01
buat,0.02
budak,0.01
buka,0.039
bukan,0.029
bulan,0.02
bunga,0.029
bur,0.01
cak,0.01
camat,0.01
cangkang,0.01
carane,0.01
cari,0.01
cause,0.01
cekout,0.01
cemburu,0.01
cemil,0.02
centung,0.01
cina,0.01
cinta,0.029
ciprat,0.01
cium,0.01
coba,0.039
cocok,0.01
cookie,0.01
coret,0.02
corona,0.01
cuma,0.029
curhat,0.01
curhatan,0.01
darah,0.02
dasi,0.01
debat,0.01
defisiendi,0.01
defisiensi,0.01
deketku,0.01
demam,0.039
depan,0.01
dewe,0.029
di,0.02
dia,0.039
diharapno,0.01
dijak,0.01
dikit,0.01
dikongkon,0.02
diq,0.01
diskon,0.01
diucapin,0.01
doa,0.01
doang,0.049
dokter,0.01
dong,0.02
drama,0.02
drtd,0.01
dua,0.02
duduk,0.01
dulu,0.049
dunia,0.01
duta,0.01
eachother,0.01
