term,weight
abangan,0.007
abc,0.007
acak,0.007
acara,0.007
aceh,0.007
ada,0.083
adil,0.007
admin,0.007
aduh,0.021
agak,0.007
agam,0.007
agar,0.028
ah,0.007
ahok,0.007
air,0.007
ajak,0.007
ajar,0.007
akan,0.014
akhir,0.021
akhirat,0.007
akun,0.014
alamat,0.007
alkohol,0.007
almarhum,0.007
aman,0.014
ambil,0.007
amin,0.035
ampuh,0.007
an,0.007
anak,0.09
analog,0.007
ancam,0.007
aneh,0.007
angep,0.007
angin,0.014
angka,0.007
anti,0.007
antre,0.007
apa,0.048
apalagi,0.014
aparat,0.007
api,0.007
apotek,0.014
arah,0.014
arak,0.007
argumen,0.007
arti,0.007
artis,0.007
arwana,0.007
asam,0.014
ashoy,0.007
asli,0.007
asuransi,0.021
atas,0.007
atur,0.014
aturanya,0.007
awal,0.028
awam,0.007
awas,0.014
ayam,0.035
baca,0.007
badjingan,0.007
bagai,0.021
bagaimana,0.062
bagi,0.014
bagus,0.014
bahasa,0.007
bahaya,0.007
baik,0.118
baja,0.007
bala,0.014
balesan,0.007
bandel,0.007
bang,0.007
bangun,0.021
banjir,0.007
bantah,0.007
bantu,0.007
banyak,0.055
bapak,0.076
barang,0.021
baru,0.09
basa,0.007
basi,0.007
batalin,0.007
bawa,0.048
bawah,0.014
bayar,0.09
beberapa,0.021
beda,0.007
begadang,0.007
begini,0.021
begitu,0.007
beh,0.007
bek,0.007
bel,0.014
belah,0.007
belakang,0.007
belanda,0.007
beli,0.055
belio,0.007
belum,0.014
benahin,0.007
benang,0.007
benar,0.062
benny,0.014
bensu,0.021
bentar,0.014
berani,0.014
berapa,0.021
berat,0.014
bercak,0.007
berhububgan,0.007
beri,0.035
berita,0.042
berkenda,0.007
bersih,0.007
besar,0.035
betul,0.014
biasa,0.014
biaya,0.007
bicara,0.007
bidang,0.007
bijak,0.021
bilang,0.042
bingung,0.021
bisa,0.028
bismillah,0.007
blek,0.007
bodoamat,0.007
bodoh,0.007
boen,0.007
bohong,0.014
bolehin,0.007
bom,0.055
bpjs,0.035
brompton,0.007
bronkitis,0.007
buat,0.139
bui,0.007
buka,0.014
bukan,0.035
bulan,0.083
bumbu,0.021
bungkam,0.007
buru,0.007
buyut,0.007
cahaya,0.007
calon,0.007
canda,0.007
candu,0.007
cano,0.007
canonet,0.007
cara,0.021
cari,0.028
cedera,0.007
cegah,0.007
cemil,0.035
cepat,0.021
cicil,0.007
cinta,0.007
cipta,0.007
cita,0.014
citayem,0.007
ciye,0.014
cj,0.007
coba,0.021
coban,0.007
cocok,0.007
coldplay,0.007
colorplus,0.007
cooper,0.014
corbuzier,0.007
corona,0.076
cukup,0.007
cuma,0.09
daftar,0.007
dagang,0.007
dalam,0.007
damai,0.014
dampak,0.007
dapat,0.055
dar,0.007
darah,0.007
dari,0.007
dasar,0.007
datang,0.007
debar,0.007
debat,0.007
dedy,0.007
deh,0.014
dekat,0.014
denda,0.014
dengan,0.042
dengar,0.007
depan,0.007
depok,0.028
dev,0.014
devscan,0.007
di,0.021
diam,0.007
diangap,0.007
dibatasin,0.007
dibawain,0.007
diberentin,0.007
dijalanin,0.007
dik,0.007
dikandani,0.007
dikerjain,0.007
dikit,0.007
dilema,0.014
dinaikin,0.014
dipangul,0.007
diplintir,0.007
dirawatin,0.007
diri,0.014
diribetin,0.007
disebarin,0.007
diskon,0.007
ditegasin,0.007
ditolongin,0.007
diturunin,0.014
diumumin,0.007
dluduk,0.007
doa,0.014
doang,0.055
dokter,0.007
domba,0.007
dong,0.007
dosa,0.014
dugemnya,0.007
duitin,0.007
dulu,0.048
duluan,0.007
dunia,0.014
edar,0.007
edisi,0.007
edukasi,0.028
eh,0.021
ekonomi,0.007
elite,0.007
embel,0.014
empat,0.014
enak,0.014
endors,0.007
eror,0.007
erti,0.007
eug,0.007
fakta,0.007
fasilitas,0.007
figur,0.014
film,0.042
folowan,0.007
fonis,0.007
foto,0.035
fufufu,0.007
gabung,0.007
ganti,0.014
gara,0.021
gaya,0.007
gayan,0.007
gbk,0.007
gehu,0.007
gejala,0.014
gelombang,0.014
gembok,0.007
generasi,0.007
geprek,0.021
gestur,0.007
gi,0.007
gin,0.048
global,0.007
goa,0.111
gojira,0.014
gokil,0.007
goreng,0.021
gosip,0.021
grabfod,0.007
grup,0.007
gulung,0.021
gx,0.014
habis,0.014
hanya,0.028
hapus,0.007
haram,0.007
harap,0.007
harga,0.028
hari,0.028
harus,0.007
hasil,0.048
hati,0.028
hayoloh,0.007
hayuk,0.007
hebat,0.014
hehehehe,0.028
hehehehehe,0.014
henti,0.007
heran,0.007
heuheuheu,0.007
hibur,0.007
hidup,0.021
hilang,0.007
hingga,0.014
hiruk,0.007
hitam,0.014
hoaks,0.007
homer,0.007
hong,0.007
hubung,0.007
huehehehehe,0.007
huhuhuhuhu,0.007
hukum,0.007
humoris,0.014
ibarat,0.007
ibu,0.035
ih,0.007
ikan,0.014
ikhtiar,0.007
ikut,0.035
imani,0.007
imunity,0.007
indonesia,0.021
influencer,0.014
ingat,0.014
ini,0.048
instagram,0.007
instan,0.007
intisari,0.007
istri,0.007
itu,0.076
iur,0.007
iya,0.007
iyak,0.007
iyuran,0.014
izinin,0.007
jabar,0.007
jadi,0.076
jaga,0.028
jagain,0.007
jagal,0.007
jail,0.007
jajaja,0.007
jajan,0.007
jakarta,0.007
jaksa,0.007
jalan,0.021
jam,0.014
jaman,0.007
jamanya,0.007
jambi,0.007
jarak,0.014
jarang,0.007
jari,0.014
jariah,0.007
jatah,0.007
jauh,0.014
jawab,0.014
jelas,0.035
jelek,0.007
jenis,0.021
jepang,0.007
jne,0.007
joging,0.007
jokowi,0.007
joprak,0.007
jual,0.014
judes,0.007
judi,0.014
juga,0.021
jul,0.007
jumat,0.014
justru,0.007
juta,0.014
kaca,0.007
kacang,0.007
kadang,0.014
kaki,0.014
kala,0.007
kalah,0.007
kalau,0.173
kaleng,0.014
kali,0.028
kamar,0.007
kambing,0.028
kamera,0.021
kampanye,0.014
kampus,0.021
kan,0.014
kanan,0.014
kanpanye,0.007
kapok,0.014
karyawan,0.007
kasi,0.021
kasih,0.042
kasus,0.007
kata,0.035
kaum,0.007
kawan,0.007
kcp,0.007
kebeneran,0.007
kebijakanya,0.007
kegep,0.007
keju,0.007
kelelawar,0.014
keling,0.007
keluarga,0.042
keluarin,0.014
kemarin,0.035
kembali,0.014
kemendikbudnya,0.007
ken,0.007
kena,0.028
kenal,0.007
kenapa,0.021
kencang,0.014
kencing,0.007
kendaran,0.007
kentek,0.007
kepel,0.007
kepercayan,0.007
keras,0.007
kerja,0.021
kero,0.007
kerupuk,0.007
kesal,0.014
ketan,0.007
ketawa,0.007
ketemen,0.007
ketemu,0.007
ketiwi,0.007
kicep,0.007
kilo,0.007
kipas,0.007
kira,0.035
kiri,0.014
kita,0.014
kodak,0.007
kompas,0.007
komplen,0.007
komunikasi,0.007
kondisi,0.007
kong,0.007
konpensasi,0.007
konspirasi,0.048
konte,0.007
kontrak,0.007
kopi,0.007
korupsi,0.007
kos,0.021
kosong,0.014
kostan,0.014
kreasi,0.007
kripik,0.007
kritik,0.014
krl,0.021
kuah,0.014
kuat,0.007
kucing,0.021
kulit,0.007
kuota,0.007
kurang,0.028
ladang,0.007
lagi,0.007
lah,0.028
lain,0.014
laki,0.042
laku,0.042
lalu,0.035
lama,0.042
lambung,0.021
lampu,0.007
lampung,0.014
langar,0.007
langsung,0.014
lanjut,0.014
lansia,0.007
lapang,0.007
lapar,0.021
lapor,0.007
larut,0.007
lauk,0.007
lawan,0.007
layan,0.014
lebih,0.076
lekas,0.021
lewat,0.007
leyeh,0.014
liar,0.007
lihat,0.069
lingkar,0.007
listrik,0.069
loh,0.007
lucu,0.021
luhut,0.007
luka,0.007
lumayan,0.014
lurah,0.007
maaf,0.007
maag,0.007
mabuk,0.014
maenan,0.007
magrib,0.007
mahal,0.007
main,0.014
mainin,0.007
makanya,0.007
maksutnya,0.007
malah,0.035
malam,0.014
maling,0.007
mall,0.007
mamam,0.007
mampir,0.007
mana,0.021
manipulasi,0.007
mantap,0.007
mantengin,0.007
manusia,0.007
maoan,0.007
marah,0.007
margonda,0.007
martabak,0.014
masa,0.014
masal,0.007
masalah,0.014
masih,0.014
masing,0.014
masjid,0.021
masker,0.028
masuk,0.076
masyarakat,0.007
mata,0.021
matrial,0.007
mau,0.09
mayat,0.007
mazini,0.007
mbah,0.007
media,0.007
medis,0.021
memang,0.042
memberi,0.007
memgenai,0.007
mendung,0.007
menit,0.007
menteri,0.007
menu,0.007
mes,0.021
mie,0.028
milanisti,0.007
miliar,0.007
minggu,0.021
mini,0.014
minum,0.021
minyak,0.007
misal,0.007
miskin,0.014
mistis,0.007
mode,0.007
model,0.007
motor,0.007
mudah,0.007
mujair,0.007
muka,0.007
mulai,0.035
mungkin,0.021
nafkah,0.007
nah,0.007
naik,0.062
nakal,0.007
nama,0.021
napi,0.007
narasi,0.007
nasi,0.014
nasib,0.007
nebak,0.014
negara,0.028
negativ,0.007
negeri,0.007
neraka,0.007
nerima,0.007
netralin,0.007
ngabisin,0.007
ngaji,0.007
ngangon,0.007
ngantor,0.014
ngebut,0.007
ngejar,0.014
ngekost,0.007
ngelonjak,0.007
ngetik,0.007
ngeyel,0.007
ngeyutub,0.007
ngiketinya,0.007
ngurang,0.007
ngurangin,0.014
niat,0.007
nihil,0.007
nirvana,0.007
normal,0.014
novel,0.007
nubruk,0.007
nya,0.007
nyaman,0.007
nyata,0.028
nyebar,0.007
nyerang,0.007
nyewa,0.007
nyiram,0.007
nyonya,0.007
nyungsep,0.007
obat,0.021
obrol,0.007
observasi,0.007
odp,0.007
oknum,0.007
onsu,0.007
orang,0.139
ormas,0.007
otg,0.007
pablik,0.007
pada,0.021
padahal,0.048
pagi,0.028
paham,0.021
pakai,0.062
paksa,0.014
paling,0.042
palsu,0.021
paman,0.007
pandemi,0.021
panggil,0.007
panik,0.014
panjang,0.021
papar,0.007
parah,0.014
paru,0.014
pasar,0.014
pasrah,0.007
pasu,0.007
pdp,0.048
pegang,0.014
pekerjaan,0.007
pengaruh,0.007
pengugur,0.007
penjara,0.007
penting,0.014
penuh,0.014
penyok,0.007
percaya,0.021
pergi,0.021
perhati,0.014
perih,0.007
periksa,0.007
perintah,0.028
perlu,0.021
pernah,0.035
pertama,0.014
pertamax,0.007
pesan,0.007
petir,0.007
petisi,0.007
pikirin,0.007
pikuknya,0.007
pilih,0.007
pilkada,0.007
pilu,0.007
pimpin,0.007
pinto,0.007
pintu,0.007
pisang,0.007
plin,0.007
pln,0.014
poin,0.014
polisi,0.007
porsi,0.007
positif,0.021
potret,0.007
presiden,0.021
provokasi,0.014
psb,0.021
psbnya,0.014
publik,0.014
publikasi,0.007
pucet,0.007
puja,0.007
pulang,0.007
pulih,0.021
punya,0.021
purnawirawan,0.007
pusing,0.007
putih,0.007
putus,0.014
ql,0.007
radang,0.007
radiohead,0.007
rakyat,0.014
ramai,0.014
rante,0.007
ras,0.014
rasa,0.014
rasisme,0.007
rencana,0.014
rendang,0.007
replay,0.007
ribu,0.021
ricoh,0.021
rindu,0.007
ringan,0.007
rit,0.007
riwayat,0.007
rokok,0.007
ronaldikin,0.007
ros,0.014
ruben,0.007
rumah,0.083
rumit,0.007
rupiah,0.007
saat,0.035
sabana,0.007
sabar,0.007
sadar,0.014
saja,0.159
sajadah,0.007
sakit,0.083
salah,0.035
saling,0.014
sama,0.139
sambal,0.021
sampai,0.055
samsung,0.014
sanjung,0.007
sanksi,0.007
sarjana,0.007
