term,weight
abba,0.009
acara,0.009
ada,0.056
admin,0.009
aduh,0.009
agama,0.009
agar,0.019
ah,0.019
air,0.019
ajak,0.009
akal,0.009
akhir,0.009
akibat,0.009
al,0.019
almarhum,0.019
ambil,0.009
ambon,0.009
amin,0.028
amplop,0.009
ampun,0.009
an,0.009
anak,0.037
anda,0.019
angkat,0.019
angpau,0.009
anies,0.009
antara,0.009
apa,0.122
apansa,0.009
arti,0.009
asam,0.009
atau,0.037
atur,0.019
awak,0.009
awat,0.019
ayah,0.009
ayam,0.028
ayo,0.019
baca,0.019
baik,0.028
bajing,0.009
baju,0.009
bakar,0.009
bakso,0.019
baku,0.028
balik,0.009
bamtu,0.009
bandara,0.019
bandel,0.009
bang,0.047
banji,0.009
bantah,0.019
bantu,0.019
banyak,0.028
bapak,0.084
baribut,0.009
baru,0.084
basah,0.009
batin,0.009
bawa,0.019
bawah,0.009
bawain,0.009
begini,0.019
begitu,0.066
beh,0.009
belah,0.028
belanja,0.009
beliau,0.047
belum,0.056
benar,0.047
bencana,0.009
bendung,0.037
beranta,0.009
berapa,0.037
berat,0.009
beri,0.019
berita,0.037
berkah,0.009
bersih,0.019
besar,0.009
besok,0.037
biasa,0.028
bibir,0.009
bicara,0.019
bilang,0.009
bimtek,0.009
bingung,0.009
blok,0.009
bobok,0.009
bodoh,0.028
bolak,0.009
boneka,0.009
bos,0.028
buang,0.009
buat,0.112
bubur,0.009
buka,0.037
bukan,0.047
bukit,0.009
bukti,0.009
buku,0.028
bulan,0.028
bulat,0.009
bunga,0.009
buol,0.028
burasa,0.009
butuh,0.009
cabut,0.009
cadas,0.009
cakep,0.028
calon,0.009
canda,0.009
cantik,0.009
cara,0.019
cari,0.009
cebi,0.009
cebong,0.009
cegah,0.009
celah,0.009
cemil,0.084
cemilan,0.009
cepat,0.019
cerita,0.009
cicil,0.009
corona,0.066
cubit,0.009
cuci,0.019
cucu,0.019
cuma,0.019
cuman,0.037
cus,0.009
cuti,0.037
dahsyat,0.009
dalam,0.019
damar,0.009
dan,0.178
dapat,0.019
dari,0.056
data,0.009
datang,0.037
daya,0.009
deh,0.056
dek,0.028
dekat,0.009
dengan,0.019
dengar,0.009
depan,0.019
deras,0.019
desinfektan,0.009
dgr,0.009
di,0.028
diam,0.009
dibage,0.009
dibilangin,0.009
digital,0.009
dikit,0.009
dilema,0.009
dimarahin,0.009
dinding,0.009
ding,0.009
diri,0.019
dokter,0.056
donat,0.009
dong,0.019
dongo,0.009
dorang,0.009
downlift,0.009
drama,0.019
drive,0.009
duka,0.009
dulu,0.019
durhaka,0.009
ealah,0.009
edar,0.009
eh,0.037
emosi,0.009
endi,0.037
endonesa,0.009
favorit,0.009
felnya,0.009
feri,0.009
film,0.009
fokus,0.009
foto,0.028
gaduh,0.009
gagal,0.009
gali,0.009
gaung,0.009
gempa,0.019
geneh,0.009
gerah,0.009
getar,0.009
geye,0.009
gigi,0.009
gila,0.009
gin,0.028
goreng,0.019
gr,0.009
gudeg,0.019
gugup,0.019
gugur,0.009
guling,0.009
gunung,0.009
guru,0.037
gus,0.009
habib,0.009
habis,0.037
hai,0.019
halang,0.009
hampir,0.009
hancur,0.009
harap,0.009
harga,0.009
hari,0.112
harimau,0.019
harus,0.028
hati,0.009
hayo,0.009
hebat,0.019
heboh,0.009
helm,0.019
hidup,0.019
hikmah,0.009
hilang,0.019
himbaun,0.009
hindar,0.009
hitam,0.009
hoh,0.009
honda,0.009
hormat,0.019
hsl,0.009
hubung,0.009
hujan,0.028
hujanya,0.009
ibu,0.094
ied,0.009
ih,0.028
ikan,0.009
ikut,0.019
imut,0.009
in,0.019
inalilahi,0.009
indah,0.009
indonesia,0.019
induk,0.009
ingat,0.009
ingin,0.009
inhaler,0.009
ini,0.047
instagram,0.019
intai,0.009
isi,0.009
isin,0.009
islam,0.009
istri,0.056
itu,0.169
iya,0.037
jadi,0.131
jadin,0.009
jadul,0.019
jaga,0.047
jakarta,0.009
jalan,0.056
jam,0.019
jamah,0.009
janda,0.009
jarak,0.009
jauh,0.056
java,0.009
jawa,0.019
jawab,0.019
jaya,0.009
jco,0.009
jejak,0.009
jelang,0.009
jelas,0.009
jelek,0.009
jenguk,0.019
jenis,0.009
jilbab,0.009
jiwa,0.009
jorok,0.009
jual,0.019
judul,0.009
jufri,0.009
juga,0.066
jumat,0.028
juni,0.009
jutek,0.009
kab,0.009
kabar,0.009
kabupaten,0.009
kaca,0.009
kacamata,0.009
kacang,0.009
kadang,0.009
kades,0.009
kalah,0.009
kalau,0.14
kali,0.047
kalimantan,0.009
kan,0.019
kantor,0.047
kapal,0.047
kapurung,0.009
karantina,0.009
kardus,0.009
karena,0.056
kari,0.009
karir,0.009
karpet,0.009
kata,0.056
kayak,0.028
kebersihanya,0.009
kecil,0.019
kejiwan,0.009
kekeluargan,0.009
