term,weight
aa,0.009
ada,0.107
adalah,0.009
adan,0.009
admin,0.009
adon,0.009
aduh,0.027
agar,0.036
agik,0.053
agresif,0.009
agung,0.009
ah,0.036
ahahahahahah,0.018
ahahahahahaha,0.009
ahahahahahahaha,0.018
aik,0.009
ajak,0.009
ajar,0.018
akademi,0.009
akan,0.018
akhir,0.045
aktif,0.009
akun,0.018
alas,0.009
almet,0.009
alpukat,0.009
ambil,0.009
ampun,0.027
an,0.009
anda,0.089
anggap,0.009
angun,0.009
anjak,0.009
antem,0.009
antrianya,0.009
aok,0.018
apa,0.178
aroma,0.009
asik,0.009
asli,0.009
astaga,0.009
awal,0.027
awas,0.009
ayah,0.009
ayam,0.036
ayo,0.018
baca,0.018
bacok,0.009
badan,0.009
bagus,0.009
bahasa,0.018
bahaya,0.009
bai,0.036
baik,0.027
baju,0.009
balas,0.036
balik,0.009
bang,0.027
bangka,0.009
bangun,0.009
bantut,0.009
banyak,0.009
bapak,0.009
baru,0.116
baso,0.009
batu,0.009
bau,0.018
bawa,0.027
bawak,0.009
bayar,0.009
beberapa,0.009
beda,0.009
bedue,0.009
begeser,0.009
begini,0.027
begitu,0.018
bekabar,0.009
belakang,0.027
beli,0.045
belitung,0.009
beluk,0.009
belum,0.009
benar,0.045
benci,0.009
bendel,0.009
bentar,0.009
berani,0.009
berapa,0.009
berkat,0.009
besok,0.027
betunang,0.009
biasa,0.009
biase,0.009
bicara,0.036
bilang,0.036
bingung,0.009
bisa,0.009
blokir,0.009
boba,0.009
bolak,0.009
boleh,0.009
bongkar,0.009
bos,0.009
bosan,0.027
buat,0.053
budak,0.036
buk,0.009
buka,0.018
bukan,0.027
bulan,0.009
buruk,0.018
butuh,0.009
cacing,0.009
cahaya,0.027
campur,0.009
capatu,0.009
cari,0.009
cemil,0.018
cepat,0.018
cerewet,0.009
cerita,0.009
ceritain,0.009
cermin,0.009
ceu,0.027
chakep,0.009
chatnya,0.009
chibi,0.009
cimoy,0.018
