term,weight
abisitu,0.012
acara,0.006
aci,0.012
ada,0.053
adalah,0.012
adan,0.012
aduh,0.006
agar,0.029
air,0.012
ajak,0.006
akan,0.012
akhir,0.029
al,0.006
alas,0.018
alat,0.012
alias,0.006
alis,0.006
amatsih,0.006
ambil,0.012
an,0.029
anak,0.024
anda,0.141
aneh,0.024
ang,0.029
angan,0.006
angep,0.006
anggota,0.006
angkutan,0.018
angsur,0.006
anjeng,0.006
anu,0.006
anyer,0.006
apa,0.1
apik,0.006
aroma,0.012
arti,0.012
aseton,0.006
asin,0.006
asli,0.024
asmara,0.006
auk,0.006
avatar,0.006
awal,0.012
awam,0.018
ayam,0.024
ayo,0.018
babawa,0.006
baca,0.012
bada,0.006
badan,0.006
bagai,0.012
bagaimana,0.018
bagi,0.006
bagus,0.024
bahan,0.006
bahas,0.006
bahasa,0.006
bahkan,0.012
bahlul,0.006
baik,0.024
baja,0.006
bajing,0.006
balap,0.006
balik,0.006
balsamic,0.006
balta,0.012
ban,0.006
banci,0.006
bangga,0.006
bangun,0.012
bantu,0.006
banyak,0.035
barbar,0.006
baru,0.065
baso,0.012
batas,0.006
bau,0.088
bawa,0.018
bayang,0.006
bayangin,0.006
bearbrand,0.006
bebek,0.006
bebel,0.006
beberapa,0.006
beda,0.035
begadang,0.006
begini,0.012
begitu,0.053
belanja,0.006
beli,0.035
beliau,0.006
benar,0.071
benarkan,0.006
benci,0.018
benda,0.006
berapa,0.006
berat,0.012
beri,0.024
bersih,0.012
bersin,0.006
besar,0.035
besok,0.006
betina,0.006
betul,0.006
bgsd,0.006
bias,0.006
biasa,0.035
bihalal,0.006
binatang,0.006
bintang,0.006
birah,0.006
bisa,0.029
bkb,0.006
boba,0.006
bodoamat,0.006
bodoh,0.006
bodyshaming,0.006
bogor,0.029
bojongede,0.006
bom,0.029
botak,0.006
botol,0.006
buat,0.082
buka,0.006
bukan,0.029
buku,0.006
bulan,0.012
bulu,0.018
bumbu,0.018
bunga,0.006
bunyi,0.006
burger,0.012
busuk,0.006
butuh,0.006
cabut,0.006
cahaya,0.006
camat,0.006
canda,0.024
cara,0.024
catat,0.006
cemil,0.053
cendol,0.012
cerca,0.006
cere,0.006
cerewet,0.012
cerita,0.006
cibinong,0.012
cincay,0.006
cium,0.018
clueless,0.006
coba,0.065
cocok,0.024
cologne,0.006
cont,0.012
creatures,0.006
cuci,0.018
cucu,0.006
cukup,0.018
cuma,0.053
cung,0.006
curhat,0.012
curiga,0.006
cuy,0.006
dalam,0.006
dan,0.018
dandananya,0.006
dapat,0.029
dari,0.006
darimana,0.006
darurat,0.006
dasar,0.018
datang,0.006
datengin,0.006
deh,0.041
dekat,0.012
demam,0.006
dengan,0.012
dengar,0.006
depan,0.006
desain,0.006
deskripsi,0.006
deskripsin,0.006
detail,0.006
detik,0.006
di,0.047
dia,0.018
dibiasain,0.012
dicekokin,0.006
dicurigain,0.006
dihubungin,0.006
dikit,0.006
dilema,0.053
dimasukin,0.012
diobatin,0.006
diobom,0.006
diomongin,0.006
diri,0.018
dirigen,0.006
dititipin,0.006
doang,0.041
dokter,0.041
dong,0.018
dosa,0.006
drama,0.006
drh,0.018
dua,0.012
dulu,0.088
eau,0.006
edp,0.018
edt,0.006
eh,0.012
enak,0.059
encer,0.006
endus,0.018
energi,0.006
engap,0.006
episode,0.006
eselon,0.006
evur,0.006
fakultas,0.006
femme,0.006
fesbuk,0.006
flu,0.006
fokus,0.006
foto,0.006
fragrantica,0.006
gabawa,0.006
gadis,0.006
gaib,0.006
gaji,0.006
game,0.006
gang,0.006
ganti,0.006
gapaham,0.012
gapenting,0.006
gara,0.018
garis,0.006
gatal,0.006
gedung,0.006
gelagepan,0.006
gelang,0.006
geli,0.012
genei,0.006
genges,0.006
gercep,0.012
gigi,0.006
gila,0.018
gin,0.029
gntg,0.006
goa,0.041
goodie,0.006
gratis,0.006
grooming,0.018
grup,0.006
gubernur,0.006
gudang,0.012
habis,0.047
haduh,0.006
hai,0.018
hak,0.006
halal,0.006
hamdalah,0.006
hampers,0.029
hampersnya,0.006
hampir,0.006
hancur,0.006
handcream,0.006
hanya,0.018
hapus,0.006
harfiah,0.012
harga,0.012
hari,0.024
harry,0.006
harus,0.012
