term,weight
ada,0.046
adalah,0.046
aduh,0.008
aduk,0.023
affordable,0.008
agak,0.008
agar,0.038
air,0.038
ajak,0.015
ajar,0.03
akan,0.046
akhir,0.061
akhlak,0.008
akrab,0.008
alam,0.015
alright,0.008
ambil,0.015
amin,0.008
ampun,0.015
amsyong,0.008
an,0.03
anak,0.015
anam,0.008
anda,0.114
andil,0.008
ang,0.008
angkat,0.008
anime,0.008
antar,0.008
apa,0.228
api,0.015
aplikasi,0.008
apo,0.015
apolagi,0.015
archimedes,0.008
arti,0.008
arus,0.008
asa,0.008
asin,0.038
astaga,0.008
atas,0.008
atur,0.008
aulia,0.008
available,0.008
awal,0.008
ayo,0.068
bab,0.015
baca,0.038
badan,0.015
bagaimana,0.03
bagi,0.008
bagus,0.008
bahkan,0.008
baik,0.076
bakar,0.023
bakat,0.008
bakso,0.008
balas,0.008
bandinginyo,0.008
bangun,0.008
banyak,0.076
banyakla,0.008
bareng,0.008
baru,0.053
batas,0.015
batin,0.03
bau,0.008
bawa,0.008
bawang,0.068
bawanyo,0.008
bayar,0.008
beban,0.023
beberapa,0.008
beda,0.03
begini,0.015
begitu,0.046
beli,0.015
beliau,0.008
belum,0.023
benang,0.008
benar,0.053
benci,0.008
benda,0.015
bentar,0.008
bentuk,0.023
berat,0.008
beri,0.023
berita,0.008
bersih,0.03
besar,0.015
besok,0.008
betis,0.008
betul,0.008
biadab,0.008
biasa,0.023
biasonyo,0.015
bik,0.008
bikinke,0.008
bilang,0.008
bimbing,0.008
bina,0.015
binder,0.008
bingung,0.008
bisa,0.023
bisnis,0.015
biso,0.023
blaming,0.008
bodoh,0.008
bom,0.008
bomat,0.008
boyfriend,0.008
breaks,0.008
breathe,0.008
brownies,0.008
buang,0.008
buat,0.068
buka,0.015
bukan,0.038
bukber,0.015
bukit,0.008
buku,0.053
bulan,0.008
buntu,0.008
burger,0.015
buruk,0.008
butuh,0.015
cabai,0.061
cabut,0.008
cak,0.023
cakep,0.008
caknyo,0.008
campur,0.008
canda,0.023
cari,0.053
catat,0.03
catetan,0.008
cemil,0.076
