term,weight
ada,0.03
adab,0.01
adalah,0.039
admin,0.02
aduh,0.01
agar,0.01
ajak,0.02
akan,0.03
akhir,0.108
aktif,0.01
alat,0.01
alia,0.01
alih,0.01
allah,0.01
aman,0.01
ambil,0.03
amplang,0.01
ampun,0.03
an,0.01
anak,0.039
anda,0.138
anet,0.01
angot,0.01
antar,0.01
apa,0.039
ari,0.01
astaga,0.01
astajim,0.01
atas,0.01
aura,0.01
awal,0.01
awat,0.03
ayo,0.089
badminton,0.069
baginda,0.01
bagus,0.01
bahagia,0.01
bahasa,0.01
bahkan,0.01
baik,0.02
baju,0.02
balas,0.01
balik,0.01
banci,0.03
bang,0.03
banyak,0.039
bapak,0.039
baru,0.02
batak,0.02
bebas,0.01
beda,0.01
belakang,0.01
belum,0.01
benar,0.069
beranda,0.03
berangapan,0.01
berapa,0.02
berat,0.02
bias,0.01
biasa,0.039
bicara,0.01
bidan,0.01
bikn,0.01
bisa,0.01
bodoh,0.02
bohong,0.01
bom,0.01
bongkar,0.01
born,0.02
boru,0.01
boseni,0.01
bosor,0.01
br,0.01
brosur,0.01
buang,0.01
buat,0.059
budak,0.02
budaya,0.01
buka,0.02
bukan,0.03
bunuh,0.01
butuh,0.02
cameo,0.01
cantiq,0.01
capet,0.01
cara,0.03
casting,0.01
catat,0.01
cateringnya,0.01
cenayang,0.01
cepat,0.01
cerdas,0.02
cf,0.01
chan,0.01
cheese,0.01
chese,0.01
cinta,0.02
complete,0.01
congrast,0.01
congrats,0.01
copot,0.01
creepy,0.02
cuma,0.03
daging,0.01
dahal,0.01
dajal,0.01
dan,0.02
dapat,0.039
darah,0.01
dari,0.01
dasar,0.01
datang,0.03
deh,0.01
depan,0.01
deras,0.01
di,0.01
dia,0.01
dibelakanh,0.01
diblas,0.01
dipap,0.01
diri,0.02
ditanguhkan,0.01
doang,0.02
dong,0.049
dosen,0.02
drakornya,0.01
drama,0.128
dri,0.01
drm,0.01
dtng,0.01
dulu,0.03
dunia,0.049
eh,0.03
episode,0.089
eunie,0.02
exracuricular,0.01
favorit,0.01
fk,0.02
foto,0.02
gabung,0.01
gadis,0.03
gais,0.01
ganti,0.01
gantung,0.02
gara,0.01
garis,0.01
gaya,0.01
gc,0.01
gempa,0.01
genting,0.01
gerbang,0.01
gercep,0.01
gila,0.02
gimna,0.01
gin,0.01
gkpapa,0.01
godcasting,0.01
grup,0.02
guci,0.01
gulir,0.01
gumush,0.03
habede,0.01
habis,0.039
haduh,0.01
hai,0.03
hajsjsndbhsjsks,0.01
halah,0.02
handsanitizer,0.01
hantu,0.01
hanya,0.02
hari,0.01
hati,0.01
hayuk,0.01
healer,0.01
hedeh,0.01
hehehehehehehehehehe,0.01
henti,0.01
hidup,0.01
hitung,0.02
huah,0.01
hujan,0.01
hyuns,0.01
ian,0.01
ibu,0.03
ideal,0.01
ikan,0.01
ikut,0.02
iman,0.01
imbang,0.01
in,0.03
inang,0.01
indah,0.01
indonesia,0.03
indosiar,0.01
ingat,0.01
ini,0.02
inj,0.01
intel,0.01
isi,0.02
itu,0.079
iya,0.069
iyap,0.01
jadi,0.069
jalur,0.01
jam,0.02
jankepo,0.01
jawab,0.01
jcw,0.01
jemur,0.01
jenis,0.01
jepang,0.01
jerome,0.01
jin,0.03
jinsung,0.039
jiwa,0.02
jodoh,0.02
jt,0.01
jual,0.01
juga,0.089
julid,0.01
kaca,0.01
kah,0.01
kalau,0.108
kalian,0.01
kalimantan,0.01
kan,0.01
karekternya,0.01
kasi,0.01
kasus,0.01
kati,0.01
kegoblogan,0.01
kejam,0.01
kejer,0.01
kekorean,0.01
keluar,0.02
kembar,0.01
kenapa,0.059
kenapasih,0.01
kepanitian,0.02
keras,0.01
kerja,0.01
kesal,0.02
kesambet,0.01
ketawa,0.01
ketinggalan,0.01
keuwuan,0.03
kiming,0.01
kiri,0.01
kisah,0.01
kita,0.01
kius,0.01
komentar,0.01
koran,0.01
korea,0.079
kos,0.01
kuat,0.02
kuis,0.01
kuliah,0.01
kuning,0.01
kyung,0.01
lagi,0.039
lagu,0.01
lah,0.02
laki,0.01
lama,0.039
lampu,0.01
langsung,0.03
lanjut,0.02
lebih,0.069
lee,0.01
lele,0.01
lewat,0.03
lihat,0.03
lindung,0.01
loh,0.01
luar,0.01
lucu,0.069
lulus,0.03
mahal,0.01
mahasiswa,0.01
mahasiswi,0.01
makin,0.01
malah,0.02
malaikat,0.01
malam,0.01
mampu,0.01
manis,0.01
mantau,0.02
manusia,0.02
marga,0.01
masuk,0.03
mata,0.01
matematika,0.059
mau,0.039
maximus,0.01
mayan,0.01
medan,0.01
memahani,0.01
memang,0.108
memberi,0.02
menang,0.01
menronta,0.01
mental,0.01
merah,0.01
merhatin,0.01
meski,0.01
mikr,0.01
mingdep,0.01
minimal,0.01
misi,0.02
mntau,0.01
muat,0.01
muka,0.02
munchies,0.01
mungkin,0.03
munyak,0.01
mutualan,0.02
nah,0.01
nang,0.01
nanges,0.01
napacih,0.01
nasi,0.01
nebak,0.01
negeri,0.01
nentukan,0.01
ners,0.02
netflix,0.01
ngedrama,0.01
ngehype,0.01
ngeinspirasi,0.01
ngengas,0.01
ngerewatch,0.01
ngertin,0.01
ngetik,0.01
ngikirim,0.01
ngulang,0.02
ngurusi,0.01
niat,0.01
none,0.01
nongol,0.01
nontn,0.01
notif,0.01
nuna,0.01
nya,0.098
nyata,0.039
nyentrik,0.01
nyeseknya,0.01
nyeseq,0.01
obrol,0.01
oh,0.01
oke,0.03
okok,0.01
op,0.039
orang,0.059
padahal,0.03
paham,0.02
pakai,0.03
paling,0.01
pandemi,0.02
panitia,0.01
pantas,0.01
papan,0.01
pararel,0.01
pasang,0.03
pasif,0.01
penasaran,0.01
pengirim,0.01
penting,0.01
perangkap,0.02
perbarui,0.01
perlu,0.01
pernah,0.01
pertwiteran,0.01
pesan,0.01
peta,0.01
php,0.02
pikir,0.02
pin,0.01
pkoknya,0.01
pokok,0.03
poltekes,0.01
positif,0.01
pp,0.01
presepsi,0.01
pria,0.02
profil,0.02
proses,0.01
pukul,0.01
pulsa,0.01
punya,0.01
pusing,0.01
putus,0.01
qna,0.01
raisa,0.01
raja,0.02
ranking,0.01
