term,weight
acara,0.009
ada,0.009
adalah,0.045
admin,0.036
ads,0.009
aduh,0.018
agar,0.009
agus,0.009
ah,0.036
ahli,0.009
ahok,0.027
ajak,0.009
ajar,0.018
akan,0.027
akhir,0.018
aktif,0.009
akun,0.009
alam,0.009
alas,0.009
alias,0.009
allah,0.009
amal,0.018
amien,0.009
amin,0.009
ampun,0.009
anak,0.009
anda,0.3
angkut,0.009
angur,0.009
antebellum,0.009
apa,0.246
aplikasi,0.009
arahin,0.009
asik,0.009
atas,0.009
atm,0.009
atur,0.009
australia,0.009
axeqmcvq,0.009
ayo,0.018
babu,0.018
baca,0.027
bagaimana,0.045
bagus,0.009
bahagia,0.027
bahkan,0.018
bahwa,0.009
baik,0.045
bakar,0.009
balik,0.009
banding,0.009
banjir,0.018
banking,0.009
bantu,0.027
banyak,0.045
bapak,0.109
barangkali,0.009
baru,0.018
batalin,0.009
baterai,0.009
bawa,0.018
bawah,0.018
bawel,0.009
bayar,0.009
bayarin,0.009
bayi,0.009
bca,0.009
bcoz,0.009
begaya,0.009
begini,0.009
begitu,0.036
beib,0.009
belah,0.018
belalai,0.009
belanja,0.009
beli,0.009
beliau,0.027
belok,0.009
belum,0.027
ben,0.027
benar,0.018
bentar,0.009
bentuk,0.009
benya,0.009
bera,0.009
berani,0.009
berapa,0.009
beri,0.018
berita,0.009
berterimakasih,0.009
besar,0.009
besok,0.009
bhineka,0.009
biasa,0.009
bicara,0.009
bijaksana,0.009
bilang,0.027
bisa,0.055
bla,0.036
blah,0.027
bodoh,0.027
bohong,0.018
bola,0.009
boleh,0.009
bom,0.009
borong,0.009
bosan,0.018
breathe,0.018
brondong,0.009
buat,0.027
bude,0.009
buka,0.018
bukan,0.009
bunker,0.009
buru,0.009
buruk,0.009
butuh,0.036
bxsoxrv,0.009
cahaya,0.036
calo,0.009
capres,0.009
cara,0.018
cari,0.009
cas,0.018
cawapres,0.009
cebong,0.009
celaka,0.009
cemil,0.009
cemput,0.018
cfmtuyesb,0.009
chanel,0.009
cincin,0.036
cinta,0.036
cipok,0.009
ck,0.018
co,0.155
coba,0.018
coc,0.009
coca,0.009
cocok,0.027
cofe,0.009
coins,0.009
cola,0.009
colek,0.009
comes,0.009
cuma,0.009
curi,0.009
dadak,0.009
daging,0.009
dahsyat,0.009
dan,0.027
dapat,0.018
