term,weight
acara,0.012
ada,0.094
adalah,0.012
agar,0.035
agustus,0.012
ah,0.023
ajak,0.012
akan,0.023
akhir,0.023
akun,0.023
alarm,0.012
alergi,0.012
ampun,0.012
anak,0.047
anda,0.094
apa,0.117
arti,0.023
asli,0.012
atas,0.023
atau,0.012
atur,0.012
aurora,0.012
awal,0.012
ayo,0.106
baca,0.023
backsound,0.012
bagaimana,0.047
bahasa,0.012
bahkan,0.012
baik,0.012
baju,0.012
balon,0.012
balonya,0.012
bang,0.012
banyak,0.023
bareng,0.012
baru,0.059
basikel,0.012
bawa,0.012
bawang,0.012
beda,0.012
begimana,0.012
begitu,0.059
bek,0.012
beli,0.047
belon,0.023
benar,0.07
bentuk,0.023
bentukanya,0.012
berat,0.012
beri,0.012
bicara,0.012
bilang,0.012
bisa,0.012
biyung,0.012
bolu,0.012
bom,0.023
botol,0.012
brownies,0.012
bruntusan,0.012
buang,0.012
buat,0.117
budak,0.012
buka,0.012
bukan,0.023
bulan,0.023
bumi,0.012
bungsu,0.023
campur,0.023
cara,0.059
cari,0.012
cemil,0.023
cepat,0.012
cerdikiawan,0.012
cerita,0.035
cibay,0.012
cicin,0.012
cinta,0.035
coba,0.059
coca,0.012
cocok,0.023
cola,0.012
conbtgulgion,0.012
couplenya,0.012
cuci,0.012
cucu,0.012
cuma,0.023
dadar,0.012
daftar,0.023
dahi,0.023
dalam,0.012
dan,0.035
dapat,0.012
darah,0.012
dasar,0.012
data,0.012
david,0.012
deh,0.012
dena,0.012
dengan,0.047
depan,0.023
deras,0.012
di,0.023
dia,0.023
dijelasin,0.012
diri,0.012
dokter,0.023
dong,0.012
drama,0.012
duku,0.012
dukung,0.023
dulu,0.07
edun,0.012
eh,0.023
ehehe,0.023
eheheh,0.023
emaknya,0.012
enak,0.012
energen,0.012
enfp,0.012
entar,0.012
episode,0.023
es,0.012
euy,0.012
extracurricular,0.012
facebook,0.023
faham,0.012
fahri,0.012
fey,0.012
fla,0.012
fungsi,0.012
gafaham,0.012
game,0.012
games,0.012
gara,0.023
gas,0.012
gasabar,0.012
gerat,0.012
gigi,0.012
gilir,0.012
gin,0.07
gita,0.012
goa,0.012
google,0.012
gopay,0.023
gta,0.012
habis,0.012
hadir,0.012
haha,0.012
hai,0.035
halal,0.012
hampir,0.012
hanya,0.012
harga,0.035
hari,0.047
harus,0.023
hawariyun,0.012
hayuk,0.023
henti,0.035
hidih,0.012
hitam,0.012
hpnya,0.012
hujan,0.012
humaira,0.012
ibadah,0.012
ibu,0.035
iftar,0.012
ih,0.047
ikhtiar,0.012
ikut,0.152
ikuti,0.035
iman,0.012
in,0.012
indah,0.012
indonesia,0.012
infj,0.012
ingat,0.035
ini,0.059
insya,0.012
internet,0.012
inti,0.012
irishan,0.012
itu,0.082
iya,0.117
iyak,0.035
jadi,0.094
jaga,0.023
jam,0.012
jaman,0.047
jamet,0.035
january,0.012
jari,0.012
jawab,0.012
jijik,0.012
jt,0.012
jual,0.023
kacau,0.012
kada,0.012
kadang,0.012
kaki,0.012
kalau,0.082
kali,0.035
kambuh,0.012
kami,0.012
kan,0.047
karamel,0.012
karena,0.012
karung,0.012
kasih,0.012
kata,0.07
kaum,0.012
kawan,0.012
keburu,0.012
kecantikanya,0.012
kecepetan,0.012
kehadiranya,0.012
kejap,0.012
keju,0.012
kekmana,0.012
kelas,0.012
kelelawar,0.012
keluar,0.012
kembali,0.012
ken,0.012
kenapa,0.094
kencang,0.012
keras,0.012
keringet,0.012
kerja,0.023
kesal,0.023
ketemu,0.012
ketika,0.012
kira,0.023
kisah,0.012
kistik,0.012
kita,0.035
klengkeng,0.012
kn,0.012
komunikasi,0.012
kopi,0.012
korea,0.012
kosong,0.012
krim,0.012
kucing,0.023
kue,0.023
kulit,0.023
kuota,0.023
kurang,0.012
kurikulum,0.012
kurma,0.023
la,0.047
lagi,0.012
lah,0.047
lahar,0.012
lahir,0.012
lain,0.012
laki,0.082
laku,0.012
lama,0.047
langsung,0.035
lanjut,0.023
laptop,0.023
lebaran,0.023
lebaranya,0.012
lebih,0.035
lembar,0.012
lihat,0.035
lindung,0.012
lingin,0.012
loh,0.106
lomba,0.012
lucu,0.012
lupa,0.035
macam,0.012
mahir,0.012
main,0.012
mak,0.012
makanya,0.012
makas,0.012
makin,0.012
malam,0.07
manis,0.012
masa,0.035
masalah,0.023
masih,0.012
masker,0.012
mata,0.023
matahari,0.012
mau,0.082
mei,0.023
melototin,0.012
memang,0.07
menang,0.012
mendengarkan,0.012
menikah,0.012
mentang,0.012
miaw,0.012
mie,0.012
milik,0.012
milknya,0.012
mimpi,0.035
minggu,0.012
mini,0.023
minta,0.012
mirip,0.012
moca,0.012
mudah,0.023
mulai,0.012
muncul,0.012
murah,0.012
musim,0.012
mutualan,0.07
nah,0.023
nama,0.023
nana,0.012
nang,0.012
ndadak,0.012
nenek,0.012
neraka,0.023
netral,0.012
ngantuk,0.023
ngedenger,0.012
ngehits,0.012
ngelag,0.012
ngeprint,0.012
ngerokok,0.012
nikmat,0.012
nilai,0.012
nontonin,0.012
nyanyi,0.012
nyata,0.023
nyok,0.012
ogut,0.023
oke,0.012
oleh,0.141
omong,0.023
oneng,0.023
online,0.023
orang,0.188
otomatis,0.141
pabrik,0.012
pacar,0.035
pada,0.012
padahal,0.023
pagi,0.047
paham,0.012
pakai,0.035
paling,0.012
panas,0.012
pandemi,0.012
pantas,0.023
parah,0.023
pasti,0.023
pedas,0.012
pengirim,0.059
penuh,0.012
perak,0.012
pergi,0.012
perih,0.012
periksa,0.141
perkara,0.023
perlu,0.012
pernah,0.094
perut,0.012
pikir,0.082
pilih,0.012
pilihanya,0.012
pingangnya,0.012
pintar,0.023
pisang,0.012
piyama,0.012
pokok,0.023
pop,0.012
posisi,0.012
potong,0.012
praktek,0.012
pribadi,0.012
pts,0.012
puasa,0.012
punya,0.059
putar,0.035
putih,0.012
rasa,0.07
rawat,0.012
raya,0.012
rebah,0.012
rem,0.012
rena,0.012
rencana,0.012
rendah,0.012
risiko,0.012
rp,0.012
ruma,0.012
rumah,0.047
rumit,0.012
sa,0.012
saat,0.023
sah,0.012
saja,0.106
sajah,0.012
sakit,0.047
salahin,0.012
salama,0.012
sama,0.246
sampai,0.152
satu,0.117
saudara,0.141
saudi,0.012
saya,0.375
sayang,0.07
sebar,0.012
sedih,0.035
segala,0.012
sehat,0.012
sekali,0.094
sekarang,0.047
sekolah,0.012
selain,0.012
selamat,0.023
selesai,0.047
semacem,0.012
semangat,0.012
semejak,0.012
seminggu,0.012
sempat,0.012
semua,0.023
semut,0.012
senak,0.012
senang,0.012
sendiri,0.012
seperti,0.117
serah,0.012
serbuk,0.012
seret,0.012
serius,0.012
seru,0.023
sesuain,0.012
setaon,0.012
setuju,0.012
shaun,0.012
si,0.094
siapa,0.035
silabus,0.012
siliwangi,0.012
sims,0.012
sini,0.035
sistur,0.012
situ,0.012
skripsi,0.035
soal,0.012
somebody,0.012
sosro,0.012
spoiler,0.012
sudah,0.141
suka,0.07
sumber,0.012
sungguh,0.012
syahdu,0.012
syukur,0.094
tadi,0.035
tahu,0.094
tahun,0.047
takira,0.012
tamat,0.012
tangan,0.012
tanggung,0.012
tangis,0.047
tanya,0.023
tapi,0.082
tas,0.012
tawa,0.082
teh,0.023
telepon,0.012
teliti,0.012
telur,0.012
teman,0.059
tempel,0.012
tengah,0.012
tetap,0.012
tiada,0.012
tibang,0.012
tidak,0.352
tidur,0.035
timline,0.012
ting,0.012
tinggal,0.035
titik,0.012
toilet,0.012
tolong,0.023
tonton,0.012
tos,0.012
tua,0.023
tugas,0.023
tuhan,0.023
tujuanya,0.012
tular,0.023
tumbuh,0.012
tunggu,0.023
tunguin,0.012
turki,0.012
turut,0.012
tweet,0.023
twiternya,0.012
uang,0.012
ubah,0.023
uji,0.012
ulang,0.035
umum,0.012
undang,0.023
upi,0.012
usah,0.012
varian,0.012
versi,0.012
vidio,0.012
volume,0.012
wadub,0.012
wah,0.012
wajar,0.012
wangi,0.012
wanita,0.023
whatsapp,0.023
wisuda,0.012
woah,0.023
wulan,0.012
ya,0.012
yak,0.012
yang,0.129
yeay,0.012
yeh,0.012
