term,weight
aa,0.021
abangan,0.01
abes,0.01
acara,0.01
ada,0.042
adenya,0.01
adil,0.021
agama,0.01
agar,0.042
ah,0.052
ajaib,0.01
ajak,0.052
akan,0.021
akhir,0.031
akhlak,0.01
akrab,0.01
akupuntur,0.01
alas,0.01
alat,0.01
alias,0.021
allah,0.01
ambil,0.01
amin,0.01
anak,0.031
anda,0.177
anggota,0.01
angkat,0.01
anjnyir,0.01
ansis,0.01
anthonytaylorfpf,0.01
anugerah,0.01
anyir,0.01
apa,0.104
asal,0.01
asep,0.01
asia,0.01
asli,0.021
astaga,0.01
atau,0.021
aus,0.01
ay,0.01
ayah,0.01
ayan,0.01
ayo,0.042
bab,0.01
baca,0.01
badminton,0.031
bagaimana,0.021
baik,0.052
bajing,0.021
bakmi,0.01
balik,0.01
banding,0.01
bang,0.031
bangunin,0.01
banyak,0.094
bapak,0.021
baptis,0.01
baptisin,0.01
bareng,0.01
baru,0.083
batu,0.01
bawa,0.031
bawang,0.01
beda,0.021
begadang,0.01
begitu,0.021
bekel,0.01
bela,0.021
belakang,0.01
beli,0.021
benar,0.073
benet,0.01
ber,0.01
berani,0.021
beranta,0.01
berapa,0.01
berat,0.021
berkah,0.01
bersih,0.01
besar,0.021
besok,0.031
betul,0.01
biadab,0.021
biasa,0.01
bicara,0.021
bieber,0.01
bilang,0.021
bimbing,0.01
bingung,0.021
bini,0.01
biru,0.01
bisa,0.031
blaster,0.01
blenger,0.01
blkng,0.01
bo,0.01
bodoh,0.021
boker,0.01
boking,0.01
bola,0.01
bom,0.031
bos,0.01
botol,0.01
boys,0.021
brti,0.01
btuh,0.01
buah,0.01
buat,0.094
budak,0.01
buka,0.021
bukan,0.021
bulan,0.021
butuh,0.052
bwang,0.01
cahaya,0.01
cakap,0.01
cakep,0.01
calon,0.01
cari,0.01
cemil,0.031
cepat,0.01
cerita,0.01
championship,0.01
chelsea,0.021
chrome,0.01
ciku,0.042
cinta,0.042
cit,0.01
cjr,0.01
coba,0.01
coban,0.01
conte,0.021
cuaca,0.01
cukup,0.01
cuma,0.042
curhat,0.01
curug,0.01
dada,0.01
dalam,0.01
dapat,0.01
darat,0.01
dari,0.042
datang,0.01
deadpol,0.021
debat,0.021
dedlenya,0.01
deh,0.01
dekat,0.021
demenin,0.01
dengan,0.021
depa,0.01
depan,0.021
depok,0.021
di,0.01
dia,0.01
dipelajarin,0.01
dipikirin,0.01
diri,0.031
disuruh,0.01
doa,0.01
doang,0.042
doloe,0.01
dong,0.01
dosa,0.021
dosen,0.021
duduk,0.01
dulu,0.031
dunia,0.021
durhaka,0.01
duy,0.01
dwi,0.01
earphone,0.01
elah,0.01
elclasic,0.01
enak,0.021
england,0.01
esok,0.01
et,0.021
fahrul,0.01
fakboi,0.01
fans,0.01
farel,0.01
ff,0.021
fisik,0.01
foto,0.01
fren,0.021
gabung,0.01
gadis,0.073
gagal,0.01
gajelas,0.01
gakuat,0.01
gambar,0.01
gambreng,0.01
game,0.01
gaperna,0.021
gara,0.021
gatka,0.021
gayalo,0.01
gb,0.021
gbk,0.01
gd,0.01
geber,0.01
gedung,0.01
gelas,0.01
geli,0.021
gem,0.01
gila,0.021
gilir,0.01
gin,0.031
ginjal,0.01
gituan,0.01
goa,0.104
goblo,0.01
gocap,0.031
godog,0.01
gtx,0.01
guasa,0.01
gultik,0.01
habis,0.01
haha,0.021
hai,0.083
halusinasi,0.01
hampir,0.01
hancur,0.01
hanya,0.021
harga,0.01
hari,0.083
harus,0.01
hasil,0.01
hati,0.01
hedsotin,0.01
hibernasi,0.01
hidup,0.01
hik,0.01
hilang,0.01
hob,0.01
hobi,0.021
huahabahaha,0.01
huahaha,0.031
hubungan,0.01
hujan,0.031
hv,0.01
ibu,0.062
idam,0.01
ikut,0.01
ilangin,0.01
imbang,0.01
inap,0.021
indah,0.01
indonesia,0.01
ingat,0.01
ini,0.031
instastory,0.01
invisibel,0.01
ip,0.01
isi,0.01
istigfar,0.01
istirahat,0.031
istn,0.01
item,0.01
itu,0.01
iya,0.052
iyaiya,0.01
jadi,0.052
jadwal,0.01
jakarta,0.042
jalan,0.042
jam,0.125
jamin,0.01
jarak,0.01
jauh,0.01
jawab,0.01
jelang,0.01
jelek,0.021
jembatan,0.01
jenuh,0.01
jepang,0.01
juang,0.01
juara,0.01
juga,0.01
justin,0.01
kabarin,0.01
kabeh,0.01
kaca,0.01
kaji,0.01
kaki,0.01
kalah,0.01
kalau,0.177
kali,0.01
kalian,0.01
kamar,0.021
kan,0.01
kantin,0.01
karang,0.01
karena,0.021
kartu,0.01
kasi,0.021
kasur,0.01
kecil,0.021
kelamin,0.01
kelas,0.021
kelola,0.01
kelompok,0.021
keluar,0.021
keluarin,0.01
kemarin,0.01
kena,0.042
kenal,0.021
kenapa,0.083
kentel,0.01
kepribadianya,0.01
kerangka,0.01
keras,0.021
keren,0.021
kerja,0.01
kerokin,0.01
ketawa,0.01
ketawain,0.01
ketemu,0.021
kikc,0.01
kiky,0.01
konsisten,0.021
kopi,0.021
kosong,0.021
kt,0.01
kucing,0.021
kuda,0.01
kuliah,0.042
kurang,0.031
kusut,0.021
lagak,0.01
lagi,0.125
lah,0.031
lahir,0.031
lain,0.01
laki,0.042
lama,0.042
langsung,0.052
lanjut,0.01
lapang,0.01
lapar,0.021
lawan,0.01
lebih,0.031
lemme,0.01
leptop,0.01
libur,0.021
liburin,0.01
lihat,0.042
lil,0.01
lingkar,0.01
liverpol,0.01
liverpul,0.021
luang,0.01
lulus,0.01
lumping,0.01
luncur,0.01
maaf,0.01
mabar,0.01
mabuk,0.021
macet,0.01
madang,0.01
mahasiswa,0.01
main,0.145
makas,0.031
maksimal,0.01
mal,0.01
malah,0.031
malam,0.062
malas,0.021
malesan,0.01
malu,0.01
mana,0.052
mandang,0.01
mandi,0.021
manfatin,0.01
manis,0.01
mantan,0.01
mantap,0.01
mao,0.01
marih,0.01
masa,0.01
masalah,0.021
masuk,0.031
mata,0.052
matahari,0.01
materi,0.01
mati,0.01
matkul,0.01
mau,0.125
maulana,0.01
mbaca,0.01
mbah,0.01
mbanya,0.01
megang,0.01
melek,0.01
memang,0.062
menang,0.031
mendengarkan,0.01
meningalkan,0.01
mereka,0.01
merem,0.021
milik,0.01
minimal,0.01
minion,0.01
minum,0.031
mirip,0.01
mistri,0.01
mlai,0.01
mobil,0.021
muak,0.01
muka,0.01
mulai,0.01
mungkin,0.01
muntahin,0.01
musik,0.01
nangung,0.01
napsu,0.01
narik,0.01
naro,0.01
negatif,0.01
nengok,0.01
neraka,0.01
ngab,0.01
ngangkat,0.01
ngapah,0.01
ngebaptis,0.01
ngerebut,0.01
ngeroko,0.01
ngintipin,0.01
ngintipinya,0.01
ngokang,0.01
ngos,0.01
ngosan,0.01
ngulang,0.01
ngumpulin,0.01
nikmat,0.01
nisa,0.01
nope,0.01
ntah,0.031
nti,0.062
nurut,0.01
nya,0.021
nyabet,0.01
nyabu,0.01
nyaring,0.01
nyediain,0.01
nyeletuk,0.01
nyentrik,0.01
nyetel,0.01
nyiakan,0.01
nyuru,0.01
obat,0.01
ogah,0.031
ojolku,0.01
oke,0.021
olang,0.01
omong,0.021
orang,0.073
orok,0.01
otak,0.01
pabji,0.021
pada,0.031
padahal,0.031
pagi,0.062
pakai,0.01
pala,0.01
paling,0.021
pamer,0.021
panas,0.031
pandang,0.01
parkir,0.021
pb,0.031
pban,0.01
pc,0.021
pegih,0.01
pekan,0.01
pengugur,0.01
penting,0.042
penuh,0.031
peras,0.01
perhati,0.01
perlu,0.01
pernah,0.021
peta,0.021
pikir,0.042
pilih,0.01
pinggir,0.01
pingiran,0.01
pinjam,0.01
piro,0.01
pis,0.01
plastik,0.01
poinbleng,0.01
pointblank,0.01
positif,0.01
pria,0.01
pribadi,0.01
produktif,0.031
ptpt,0.021
puasa,0.031
pulang,0.01
puluh,0.01
punya,0.062
pura,0.021
pusing,0.021
pusying,0.01
putar,0.021
ram,0.01
ramashok,0.01
rangin,0.01
rasa,0.073
ratain,0.01
raya,0.01
rban,0.01
reak,0.01
rebu,0.01
referensi,0.01
rem,0.01
resah,0.01
ribut,0.01
rumah,0.042
ryzen,0.01
sabyan,0.01
sadar,0.01
saia,0.031
saja,0.104
saking,0.021
sakit,0.021
salah,0.01
sama,0.229
sampai,0.156
san,0.01
satu,0.031
saudara,0.125
saung,0.01
saw,0.01
saya,0.073
sayang,0.01
se,0.01
sebab,0.01
sebagai,0.01
sebentar,0.083
sebuah,0.021
sedang,0.01
sedih,0.01
segala,0.021
segar,0.01
sehat,0.021
sejak,0.01
sejuk,0.01
sekali,0.156
sekarang,0.021
sekitar,0.01
seks,0.01
selalu,0.031
selamat,0.01
selesai,0.042
seluruh,0.01
semangat,0.01
semarang,0.01
sembuh,0.01
semester,0.01
semi,0.01
semoga,0.021
sempurna,0.01
semua,0.042
sendiri,0.021
senin,0.01
seperti,0.145
seri,0.01
sering,0.01
seru,0.031
sesap,0.01
setuju,0.01
shld,0.01
si,0.052
sia,0.01
sial,0.01
siang,0.021
siap,0.01
siapa,0.01
sifat,0.01
sih,0.01
sini,0.01
sisi,0.031
situ,0.021
sks,0.01
smstr,0.052
soib,0.021
som,0.01
sore,0.021
spa,0.01
spek,0.01
spertinya,0.01
suatu,0.021
subuh,0.01
sudah,0.249
sudut,0.01
suka,0.021
sungkem,0.01
superhero,0.01
suru,0.01
suruh,0.01
surup,0.01
susah,0.021
sya,0.01
syahadat,0.01
syukur,0.021
tab,0.01
tadi,0.042
tahu,0.031
tahun,0.052
tai,0.031
takut,0.021
tampan,0.01
tangan,0.01
tangis,0.01
tanjung,0.021
tanya,0.01
tapi,0.145
taruh,0.01
tarung,0.01
tawa,0.145
telap,0.01
telepon,0.01
teman,0.083
tempat,0.01
temu,0.01
tenang,0.021
tenangin,0.01
tengah,0.01
tep,0.031
terapi,0.01
terima,0.01
terimakasih,0.01
teringat,0.01
terus,0.021
tetangga,0.01
tgif,0.021
tgtr,0.01
ti,0.01
tiap,0.021
tidak,0.436
tidur,0.083
tidurin,0.01
tiga,0.01
tikar,0.031
tiket,0.021
tim,0.01
tinggal,0.01
tinggi,0.01
tonton,0.031
trailer,0.01
trobos,0.01
tua,0.021
tugas,0.052
tuhan,0.01
tukat,0.01
tukatnya,0.01
tumben,0.021
tunguin,0.01
turun,0.01
turut,0.021
tutup,0.021
ujar,0.021
ujian,0.01
ulil,0.052
unduh,0.01
uta,0.021
utama,0.01
virus,0.01
waktu,0.073
wanita,0.083
warkop,0.031
warteg,0.01
warung,0.01
watford,0.01
wht,0.01
wi,0.042
woilah,0.01
ya,0.01
yaiya,0.01
yang,0.239
yarob,0.01
yel,0.021
yogyakarta,0.01
