term,weight
ada,0.114
adalah,0.023
adam,0.011
adaptasi,0.034
adc,0.011
adegan,0.011
admin,0.046
adminya,0.011
aduh,0.011
agama,0.023
agar,0.046
ahli,0.011
aigo,0.023
air,0.011
ajaib,0.011
ajar,0.023
akan,0.023
akhir,0.114
akhlak,0.011
akses,0.011
aktivis,0.011
aktor,0.011
alam,0.034
alternatif,0.011
ambek,0.011
ambil,0.023
ame,0.023
amin,0.011
ampun,0.011
anak,0.023
anda,0.091
andal,0.023
aneh,0.011
angin,0.011
angotanya,0.011
anime,0.023
antang,0.011
antar,0.011
antara,0.011
anti,0.011
antre,0.011
any,0.011
anyar,0.011
apa,0.091
apik,0.011
apresiasi,0.023
aqua,0.011
arya,0.011
asal,0.011
asli,0.011
asmara,0.011
atas,0.023
atau,0.011
atheis,0.011
atur,0.011
awal,0.034
ayah,0.011
ayam,0.011
ayo,0.057
ba,0.011
baca,0.057
badan,0.023
bagai,0.034
bagaimana,0.011
bagi,0.011
bagus,0.057
bahasa,0.046
bahkan,0.023
baik,0.011
bajak,0.011
baju,0.011
balas,0.011
bandang,0.011
bang,0.011
bangku,0.011
bangun,0.011
bantu,0.011
banyak,0.057
banyakji,0.023
banyakmi,0.011
bapak,0.046
barang,0.023
barbar,0.011
baris,0.011
baru,0.091
bawa,0.023
bawang,0.011
bayar,0.011
bebas,0.011
beberapa,0.046
beda,0.057
begitu,0.091
belah,0.023
belalang,0.011
beli,0.023
belok,0.023
belum,0.023
benar,0.011
bendera,0.011
bengkak,0.023
berani,0.011
beranta,0.011
berat,0.011
beri,0.034
berita,0.011
berkas,0.011
betah,0.011
betis,0.011
bi,0.023
biasa,0.057
bilang,0.034
bilas,0.011
bili,0.023
bilion,0.011
bing,0.011
bingung,0.011
bintang,0.011
bioskop,0.046
bisa,0.034
bisnis,0.011
blokir,0.011
bob,0.023
bodoh,0.011
boleh,0.011
bos,0.034
bosan,0.011
botol,0.023
bpjs,0.011
buang,0.011
buat,0.148
budak,0.023
buka,0.011
bukan,0.034
buku,0.023
bulan,0.023
bumi,0.023
bumilangit,0.011
bunuh,0.034
butuh,0.034
buzerp,0.023
cair,0.011
cangihna,0.011
cara,0.057
cari,0.011
casa,0.011
catat,0.011
catchplay,0.011
cc,0.023
celaka,0.023
cemil,0.034
cenat,0.011
cendol,0.011
cenut,0.011
cerewet,0.011
cerita,0.091
chu,0.011
cicil,0.011
cik,0.011
cinematic,0.011
cinta,0.057
cloy,0.034
coba,0.011
cocok,0.011
comes,0.011
corona,0.034
cuk,0.011
cukup,0.011
cuma,0.069
daging,0.011
dan,0.023
dapat,0.011
darah,0.023
darat,0.011
dari,0.023
datang,0.034
dawet,0.011
dedek,0.011
deh,0.046
dekat,0.011
dengan,0.034
dengar,0.046
depa,0.011
dewa,0.011
di,0.046
dialog,0.011
dijadin,0.011
dilanjutin,0.011
dini,0.011
diri,0.011
disini,0.011
ditunguin,0.011
doa,0.011
dong,0.057
drama,0.023
duduji,0.011
dukung,0.011
dulu,0.023
duluan,0.023
dunia,0.011
duwi,0.011
eh,0.034
ekslusifnya,0.011
elie,0.011
emas,0.011
emilio,0.011
emosi,0.011
enak,0.011
episode,0.011
escobar,0.023
eug,0.011
evaluasi,0.011
extracurricular,0.011
fakboi,0.011
favorit,0.011
film,0.228
folder,0.011
foto,0.011
gadis,0.011
gagal,0.011
gambar,0.011
gara,0.023
garuda,0.011
gas,0.011
gaul,0.011
