term,weight
acara,0.006
ada,0.048
adalah,0.03
adil,0.006
aduh,0.006
aduk,0.024
agam,0.006
agar,0.048
aib,0.006
air,0.036
aisia,0.006
ajak,0.012
ajar,0.066
akan,0.006
akhir,0.018
akn,0.006
aktif,0.012
al,0.006
alami,0.006
alergi,0.006
alir,0.006
alusri,0.006
aman,0.03
ambil,0.012
amburadul,0.006
ambyar,0.012
ampas,0.006
ampun,0.006
an,0.006
anak,0.018
anake,0.006
anda,0.175
andalusia,0.006
angata,0.006
apa,0.175
apartemen,0.006
aplikasi,0.012
apps,0.006
aqua,0.006
arah,0.018
arep,0.006
arti,0.012
artikel,0.006
artis,0.006
asal,0.012
asap,0.012
asia,0.006
asing,0.012
asked,0.006
atan,0.006
atas,0.042
atau,0.012
atur,0.012
awal,0.012
awat,0.012
ayah,0.012
ayam,0.012
baca,0.036
bagai,0.012
bagaimana,0.048
bagi,0.012
bagus,0.012
bahagia,0.006
bahasa,0.006
bahkan,0.006
baik,0.091
bajing,0.012
bakar,0.006
bal,0.006
balasan,0.006
balik,0.024
banding,0.006
bandingin,0.006
bandung,0.012
bang,0.036
bangun,0.012
banyak,0.097
bapak,0.03
bareng,0.006
baru,0.03
based,0.006
batal,0.03
bawa,0.018
bawah,0.006
bayang,0.024
bayar,0.012
bayi,0.006
bca,0.006
beberapa,0.006
beda,0.012
begitu,0.048
behel,0.006
bekal,0.006
belah,0.006
belai,0.006
belakang,0.006
beli,0.03
belio,0.006
belum,0.012
benang,0.018
benar,0.03
benaraga,0.006
benarkan,0.006
benci,0.006
bengi,0.006
bengine,0.006
bentar,0.012
ber,0.018
beranda,0.006
berapa,0.012
berat,0.006
beri,0.018
berisik,0.012
bertangung,0.006
besok,0.006
betah,0.012
betul,0.006
biadab,0.006
biasa,0.03
biaya,0.024
bilang,0.012
bintang,0.006
bisa,0.048
bismillah,0.006
bisnis,0.006
bljr,0.018
bodoh,0.006
bolak,0.006
boleh,0.006
bolong,0.012
bonus,0.006
bookmarks,0.006
boro,0.006
bosan,0.012
botol,0.006
brdamai,0.006
btpa,0.006
buah,0.006
buat,0.151
bubur,0.036
budak,0.006
budaya,0.012
buka,0.036
bukan,0.06
buku,0.018
bulan,0.024
bulat,0.006
buraq,0.006
buruk,0.006
buta,0.006
butuh,0.036
cache,0.006
cakram,0.006
cantik,0.006
cantiq,0.006
cara,0.006
cari,0.024
celaka,0.006
cemas,0.012
cembuh,0.006
cemil,0.066
cepat,0.018
cerah,0.006
cerewet,0.006
cerita,0.024
cheers,0.006
chernobyl,0.006
cibogo,0.006
cidera,0.006
cihampelas,0.006
cila,0.006
ciloko,0.006
cimahinya,0.006
cinta,0.024
cipeuw,0.006
cipta,0.006
ckckck,0.006
clear,0.012
coba,0.012
convo,0.018
cosplay,0.006
cowonya,0.006
cukup,0.012
cuma,0.024
dada,0.006
daerah,0.018
daftar,0.012
dagang,0.006
dalam,0.024
dalih,0.006
damai,0.012
dan,0.024
dapat,0.03
darat,0.006
dari,0.06
daritadi,0.006
data,0.006
datang,0.006
daya,0.006
debat,0.006
decide,0.006
deep,0.012
definisi,0.006
dekat,0.006
deketin,0.006
dengan,0.06
dengar,0.012
depan,0.012
despite,0.006
dewasa,0.006
di,0.012
dia,0.036
