term,weight
ad,0.01
ada,0.039
adalah,0.01
adan,0.01
admin,0.029
agam,0.01
agama,0.029
agar,0.01
ah,0.039
aidin,0.01
akan,0.039
akhir,0.068
akibat,0.01
akurat,0.01
alam,0.01
alamat,0.01
aman,0.01
ambil,0.019
ambyar,0.01
amin,0.058
amsyong,0.029
an,0.01
anak,0.029
anas,0.01
anda,0.107
aneh,0.019
angkat,0.01
angkutan,0.01
anti,0.01
apa,0.146
aplikasi,0.01
april,0.01
arie,0.01
asam,0.01
asik,0.01
asli,0.068
asyu,0.01
atas,0.01
awas,0.01
awat,0.01
ayam,0.039
ayo,0.029
azwar,0.01
baca,0.01
bacod,0.01
badai,0.019
bagai,0.01
bagaimana,0.039
bahagia,0.019
bahkan,0.01
baik,0.049
bakar,0.01
balas,0.01
balromnya,0.01
bambank,0.019
bangke,0.01
bantu,0.01
banyak,0.049
barangkali,0.01
barelona,0.01
baru,0.078
basura,0.01
batal,0.01
batin,0.01
batu,0.01
bawang,0.01
beberapa,0.01
beep,0.01
begini,0.078
begitu,0.029
beh,0.01
belakang,0.019
belanja,0.01
beli,0.019
belum,0.01
ben,0.019
benar,0.068
bentuk,0.01
berat,0.019
berita,0.039
bersin,0.01
besar,0.01
besok,0.039
betul,0.029
biasa,0.01
bicara,0.019
bisa,0.01
bising,0.01
bismillah,0.01
bisnis,0.01
bmw,0.01
bodoh,0.029
bombay,0.01
bong,0.01
bos,0.01
bosan,0.01
bow,0.01
breh,0.019
brengsek,0.01
bri,0.019
bromo,0.01
btp,0.01
buar,0.01
buat,0.136
buatin,0.01
buka,0.01
bukan,0.019
buktin,0.01
bulan,0.029
bunga,0.01
buru,0.029
buruk,0.01
butuh,0.01
cahaya,0.01
cangkeme,0.01
cara,0.01
cari,0.019
cars,0.01
celengan,0.01
cepat,0.049
chanel,0.01
ciledug,0.019
cing,0.01
cita,0.01
closing,0.01
coba,0.01
cokdeh,0.01
congratulation,0.01
contoh,0.01
copyan,0.01
corona,0.019
cuma,0.01
da,0.01
daftar,0.01
dalam,0.01
damai,0.01
dan,0.019
dapat,0.01
dari,0.049
daripada,0.01
data,0.01
david,0.01
decide,0.01
dedel,0.01
deh,0.068
dekat,0.029
dengan,0.029
dengernya,0.01
depan,0.029
derek,0.01
di,0.029
didik,0.01
dikirimin,0.01
dikit,0.039
dil,0.019
ding,0.01
diri,0.049
divisi,0.01
dokter,0.019
dolane,0.01
dong,0.078
download,0.01
dp,0.01
duel,0.01
duka,0.01
dulu,0.039
dunia,0.01
duy,0.039
eamang,0.01
earned,0.01
efek,0.01
eh,0.01
ekekek,0.01
enak,0.078
english,0.01
ergonomic,0.01
erwin,0.01
euy,0.029
exel,0.019
fans,0.01
fasilitas,0.01
film,0.01
flash,0.01
fokus,0.01
gadis,0.01
ganas,0.01
ganti,0.01
gatal,0.01
gaweni,0.01
gea,0.01
gedung,0.01
gek,0.01
gelombang,0.019
gembira,0.01
gemesin,0.01
getol,0.01
gilang,0.01
gin,0.039
global,0.01
goa,0.146
gor,0.019
gosok,0.01
gracak,0.01
gratis,0.01
habis,0.039
hakikat,0.01
hamdalah,0.01
hancur,0.01
harap,0.01
harga,0.019
hari,0.058
harus,0.01
has,0.019
hasil,0.019
hebat,0.01
heran,0.019
heyah,0.01
hidup,0.029
hilang,0.01
his,0.01
hormat,0.01
hotel,0.01
hq,0.01
hujan,0.01
iar,0.019
ibadah,0.019
ibu,0.058
ijazah,0.01
ikhlas,0.01
ikut,0.01
in,0.019
informasi,0.01
ingat,0.019
ini,0.068
inti,0.01
isi,0.039
istirahat,0.01
istri,0.01
italy,0.01
itu,0.136
iya,0.039
iyak,0.01
izin,0.019
jadi,0.107
jaga,0.01
jakarta,0.019
jalan,0.039
jaman,0.068
jamber,0.01
japri,0.01
jaringanya,0.01
jasa,0.01
jatuh,0.01
jauh,0.019
jawab,0.019
jebol,0.01
jenis,0.01
jet,0.01
jual,0.019
juara,0.019
juga,0.019
jumpa,0.01
kakean,0.01
kalah,0.019
kalau,0.165
kalem,0.01
kalender,0.01
kambing,0.01
kamning,0.01
kampus,0.01
kan,0.019
kanal,0.01
kandang,0.01
kapan,0.01
karena,0.019
karir,0.01
kasi,0.01
kasih,0.019
kasoh,0.01
kasus,0.01
kata,0.058
kayak,0.029
kb,0.01
kecil,0.01
kejut,0.039
kelanjutanya,0.01
keluar,0.019
kemarin,0.019
kembali,0.01
kembang,0.01
kemudi,0.01
kemudian,0.01
ken,0.01
kenapa,0.097
kencang,0.019
keparnoan,0.01
kepingin,0.01
keras,0.019
kerja,0.058
kesal,0.01
kesana,0.01
kesini,0.019
ketemu,0.029
khusus,0.01
ki,0.01
kira,0.019
kirim,0.01
klakson,0.01
klotok,0.01
koh,0.01
komeng,0.01
komentar,0.01
kon,0.01
konflik,0.01
konoh,0.01
kopas,0.01
kopi,0.019
kos,0.019
kosek,0.019
koyok,0.01
kpr,0.01
kui,0.01
kuliah,0.019
kumpul,0.01
kun,0.01
kurang,0.019
kylian,0.01
la,0.019
lagi,0.039
lah,0.019
lahir,0.01
laik,0.01
laki,0.126
laku,0.01
lama,0.039
lancar,0.039
langsung,0.039
lari,0.01
lebaran,0.019
lebih,0.097
lek,0.01
lelah,0.019
lengko,0.019
lesu,0.01
letih,0.01
lewat,0.019
lewatin,0.01
libur,0.01
liga,0.019
lihat,0.097
lingkar,0.01
listrik,0.01
loh,0.039
lokdon,0.019
luar,0.01
lunglai,0.01
lur,0.01
lurd,0.01
maaf,0.01
magsafe,0.01
mahasiswa,0.01
main,0.01
mak,0.01
makanya,0.029
makaryo,0.01
makin,0.068
mal,0.01
malah,0.039
malam,0.058
malang,0.019
mamik,0.01
mampir,0.019
mana,0.019
manajer,0.019
mangat,0.01
mantap,0.058
mantul,0.01
manusia,0.039
martabak,0.01
masalah,0.01
masing,0.01
masuk,0.029
masya,0.019
masyarakat,0.01
mata,0.01
mau,0.088
mayan,0.01
mbah,0.01
mbap,0.01
mbl,0.01
media,0.01
meja,0.01
memang,0.019
menang,0.01
mendung,0.01
menemani,0.01
mengatasnamakan,0.01
mengunakanya,0.01
menikah,0.01
meningitis,0.01
menteri,0.01
merak,0.01
mereka,0.01
mesin,0.019
mhn,0.01
mindon,0.01
minggu,0.01
minta,0.01
miskin,0.01
mobil,0.01
modar,0.01
modaro,0.01
modif,0.01
mohon,0.019
mor,0.01
mosok,0.01
motor,0.01
mudah,0.01
mulai,0.029
muluk,0.019
mumet,0.01
muncul,0.01
mungkin,0.029
musim,0.01
nah,0.01
nama,0.029
nanas,0.01
nang,0.019
narik,0.01
nasi,0.029
nderedek,0.01
neh,0.01
nelongso,0.01
nempel,0.01
neraka,0.019
netijing,0.01
ngapasih,0.01
ngebanyol,0.01
ngedeprok,0.01
ngeformat,0.01
ngegas,0.01
ngejauh,0.01
ngene,0.01
ngetwt,0.01
ngidam,0.01
ngikut,0.01
ngono,0.019
nikmat,0.019
nmr,0.01
normal,0.019
nya,0.068
nyacat,0.01
nyambungin,0.01
nyanyi,0.01
nyata,0.019
nyelengin,0.019
nyimak,0.01
oke,0.01
oldies,0.019
oleh,0.01
omong,0.019
orait,0.01
orang,0.01
otak,0.01
over,0.01
overheat,0.01
pai,0.019
pajero,0.01
pakai,0.049
paket,0.01
palalu,0.01
palelu,0.01
paling,0.01
palsu,0.01
paman,0.029
pamen,0.01
panci,0.01
pandemi,0.01
panggil,0.01
panjang,0.019
pantura,0.01
parah,0.01
pasrah,0.01
pasta,0.01
payung,0.01
peers,0.01
pekerjaan,0.01
pelangi,0.019
pena,0.01
pencol,0.01
penelitianya,0.01
percaya,0.019
perdana,0.01
pergi,0.019
perintah,0.019
pernah,0.01
pertamina,0.01
pesan,0.01
petrusjakendor,0.01
pikir,0.01
pin,0.019
pindah,0.01
pintar,0.01
piscok,0.01
plafon,0.01
pokok,0.01
polah,0.01
polisi,0.01
ponorogo,0.01
ponorogonya,0.01
posisi,0.01
prada,0.01
preventing,0.01
prilakunya,0.01
promosi,0.01
psb,0.019
psnya,0.01
puasa,0.01
pulang,0.019
pulsa,0.01
punya,0.01
pusing,0.01
pwt,0.01
quda,0.019
ra,0.019
radiator,0.019
ragu,0.01
ramadhan,0.01
rapi,0.01
rasa,0.058
rebah,0.058
rejekinya,0.01
rekan,0.029
rekening,0.01
rem,0.01
rencana,0.01
restoran,0.019
resty,0.01
ribu,0.01
ribut,0.019
rindu,0.058
rintis,0.01
roti,0.01
ru,0.01
rubah,0.01
rumah,0.019
saat,0.058
sabar,0.019
sadar,0.019
saham,0.01
saja,0.146
sakit,0.019
salah,0.01
salamin,0.01
sama,0.107
sampai,0.078
sangat,0.01
sangka,0.01
sanitizer,0.01
santai,0.01
sarinah,0.01
saudara,0.185
saya,0.039
sayang,0.019
sebentar,0.019
sebuah,0.019
sedang,0.01
sedih,0.01
sedikit,0.01
segera,0.01
sehat,0.088
sekali,0.097
sekarang,0.088
sekolah,0.01
selalu,0.049
selamat,0.058
selesai,0.019
semamgat,0.01
semangat,0.088
semarang,0.039
sembuh,0.01
semg,0.01
semoga,0.039
semua,0.078
senang,0.01
sendiri,0.029
senengane,0.01
seng,0.01
seperti,0.01
sering,0.01
serius,0.01
serpis,0.01
serpong,0.01
serving,0.01
