term,weight
acak,0.01
ada,0.048
adalah,0.019
adil,0.01
adl,0.01
admin,0.01
aduh,0.019
agar,0.048
agus,0.019
ah,0.01
ajarane,0.01
akan,0.01
alahu,0.01
alamat,0.01
alergi,0.01
alhasil,0.01
alias,0.01
alir,0.01
alternatif,0.01
aman,0.029
amin,0.01
anak,0.048
anda,0.106
andri,0.01
aneh,0.019
anna,0.01
anteng,0.019
apa,0.174
arya,0.01
asli,0.01
asupan,0.01
atas,0.01
autobot,0.01
awal,0.01
ayah,0.01
ayam,0.039
ayame,0.01
ayat,0.01
ayo,0.039
ayun,0.01
baca,0.019
bacan,0.01
bagaimana,0.019
bagus,0.029
bahas,0.01
baik,0.048
bak,0.01
balek,0.01
balik,0.01
bangun,0.029
banyak,0.019
bapak,0.048
bapuk,0.019
bar,0.01
barat,0.01
baris,0.01
baru,0.039
bats,0.01
batu,0.019
bawa,0.048
beban,0.01
begini,0.01
begitu,0.068
belah,0.019
beli,0.068
belum,0.01
benar,0.029
beranda,0.01
berapa,0.01
berita,0.019
bermanfat,0.01
bersih,0.01
biasa,0.01
bilangin,0.01
biru,0.01
bisa,0.039
bismillah,0.019
blaise,0.019
boba,0.01
bobot,0.019
bom,0.048
boom,0.01
bosan,0.029
buah,0.01
buat,0.126
buatin,0.01
bubur,0.01
buka,0.01
bukan,0.019
buku,0.01
bulan,0.019
burung,0.019
butuh,0.01
bwaikla,0.01
cahaya,0.01
capani,0.01
cara,0.029
cc,0.01
cemburu,0.01
cemil,0.058
cepat,0.01
cerita,0.019
cha,0.048
changwok,0.01
cheese,0.01
cik,0.029
cinta,0.01
clingy,0.01
coba,0.039
coban,0.01
cocok,0.01
cokpad,0.01
cookies,0.01
corona,0.058
cuci,0.01
cukup,0.01
culametan,0.01
cuman,0.01
da,0.01
dakwa,0.019
dan,0.029
dapat,0.019
darah,0.01
dari,0.039
daripada,0.01
days,0.01
debat,0.01
deep,0.01
deh,0.01
dengan,0.019
depan,0.01
detergen,0.01
di,0.068
dia,0.019
dikit,0.01
dinget,0.01
dipengenin,0.01
diri,0.029
disini,0.01
doang,0.01
doeksun,0.01
dokter,0.019
dolan,0.019
dong,0.01
drama,0.019
