term,weight
abu,0.008
acok,0.024
ada,0.016
adalah,0.049
adan,0.008
adiak,0.016
adiaknyo,0.008
aduh,0.033
agar,0.024
ah,0.033
ahquqbdoxvdyfbcpcmxbzyteifmzvsowpqmxhsuqv,0.008
aia,0.016
ajar,0.008
akal,0.008
akan,0.057
akhir,0.033
alami,0.008
alas,0.008
alir,0.008
allah,0.008
ampun,0.008
an,0.008
anak,0.008
anatomi,0.016
anda,0.325
andai,0.008
angekan,0.008
angin,0.008
anymore,0.008
apa,0.114
apo,0.008
arok,0.008
aron,0.008
asa,0.016
atas,0.008
atau,0.024
awak,0.065
awal,0.008
awan,0.008
awesome,0.016
ayo,0.016
ba,0.008
baa,0.024
babaleh,0.008
babe,0.024
baca,0.065
badan,0.024
badarai,0.008
bagaimana,0.057
bagus,0.008
bahkan,0.008
bahu,0.016
bahwa,0.008
baiak,0.008
baik,0.016
bajing,0.008
baju,0.008
bajuang,0.008
baku,0.008
bangiah,0.008
bangun,0.016
banyak,0.024
bapasan,0.008
bapulangkan,0.008
bapusarokan,0.008
baranang,0.008
bararak,0.008
baro,0.008
baru,0.041
basuaro,0.008
batahan,0.016
batam,0.008
batangka,0.024
batanyo,0.016
batu,0.008
baulang,0.008
baunyo,0.008
bawa,0.008
bawah,0.008
bawang,0.008
bayi,0.008
becak,0.008
become,0.008
begini,0.008
begitu,0.008
belakang,0.016
beli,0.008
belum,0.008
benang,0.008
benar,0.024
benci,0.008
benda,0.016
berang,0.008
berat,0.008
beri,0.024
besar,0.016
betor,0.008
bia,0.008
biadab,0.008
bias,0.008
biasa,0.016
bintang,0.008
biru,0.008
bisa,0.057
bloger,0.008
bokshaming,0.008
bola,0.008
bolong,0.008
bosan,0.008
buah,0.016
buat,0.073
budaya,0.008
buek,0.008
bukan,0.049
buku,0.008
bulan,0.008
bungkus,0.008
butuh,0.008
caliaknyo,0.008
canda,0.008
cara,0.008
carey,0.008
cari,0.016
cause,0.016
cayo,0.008
ceklis,0.008
cemburu,0.008
cemil,0.008
cerita,0.081
cerpen,0.008
chef,0.008
ciek,0.016
cincin,0.008
cinta,0.106
