term,weight
abrek,0.006
ada,0.028
adat,0.011
aduh,0.006
agar,0.023
agung,0.023
air,0.006
ajaib,0.006
ajak,0.017
ajar,0.011
akan,0.011
akhir,0.051
al,0.011
alas,0.006
alergi,0.011
alih,0.006
aman,0.017
ambil,0.006
amin,0.057
ampuh,0.006
an,0.028
anak,0.277
anda,0.073
anjing,0.006
antara,0.006
antivaksin,0.006
apa,0.079
apatu,0.006
apdet,0.006
arti,0.006
asi,0.017
asih,0.006
asik,0.006
asing,0.006
asli,0.028
asmarani,0.006
atas,0.017
awal,0.011
ayah,0.04
ayat,0.006
ayo,0.006
baca,0.011
bada,0.006
badai,0.006
badan,0.011
bagaimana,0.023
bahagia,0.023
bahaya,0.011
baik,0.006
bain,0.006
baju,0.006
balik,0.011
banding,0.006
bangkrut,0.006
bangun,0.057
bantu,0.011
banyak,0.057
bapak,0.006
baqarah,0.006
bareng,0.006
baru,0.017
bau,0.006
bawa,0.028
bawah,0.006
bayang,0.006
bayi,0.034
bayik,0.045
bayiknya,0.006
bebku,0.006
bedain,0.006
begadang,0.006
begini,0.006
begitu,0.023
bel,0.006
bela,0.011
belakang,0.006
beli,0.028
belum,0.006
benar,0.04
benci,0.017
bengkak,0.017
bentar,0.006
berita,0.006
bersih,0.017
besar,0.017
besok,0.006
betul,0.006
biasa,0.006
bicara,0.017
bilang,0.034
bingung,0.017
bisa,0.017
blh,0.006
bobol,0.006
bodoh,0.006
bruntus,0.006
bruntusan,0.006
buat,0.062
buka,0.011
bukan,0.017
bulan,0.034
bulanya,0.006
bulumata,0.006
bumi,0.006
butuh,0.006
bw,0.006
cabut,0.011
cacar,0.006
canda,0.011
capai,0.011
cara,0.006
cari,0.028
catokanya,0.006
cayang,0.006
cekek,0.006
celaka,0.006
cemil,0.045
cengeng,0.006
cepat,0.028
cerita,0.006
ci,0.006
cian,0.006
cimeng,0.006
cinca,0.006
cinta,0.011
ciumin,0.006
coba,0.023
coban,0.006
cocok,0.011
colok,0.011
cuci,0.034
cukup,0.006
cuma,0.051
curo,0.006
cuti,0.006
dadak,0.006
dalam,0.006
dapat,0.006
dar,0.006
dari,0.023
darurat,0.006
dasar,0.006
dasi,0.006
debu,0.011
definisi,0.006
deh,0.023
dekat,0.023
dem,0.006
demam,0.006
dengar,0.006
denting,0.006
dewasa,0.011
di,0.023
dia,0.011
diam,0.017
diemin,0.006
digelendotin,0.006
digodain,0.011
dijayusin,0.006
diliatin,0.006
dinikahin,0.006
dinyatain,0.006
diri,0.017
diskon,0.011
ditutupin,0.006
doa,0.051
doang,0.023
dokter,0.006
dompet,0.006
dong,0.023
drg,0.011
drive,0.011
drivernya,0.006
dua,0.006
duduk,0.011
dulu,0.045
dunia,0.006
dus,0.011
efek,0.006
eh,0.034
emaknya,0.017
embel,0.011
enak,0.017
engap,0.006
eri,0.006
es,0.006
fifi,0.006
fokus,0.006
foto,0.011
gambar,0.011
ganggu,0.006
ganti,0.006
gatal,0.006
gel,0.006
gelar,0.006
geligi,0.006
gemas,0.011
gendats,0.006
genki,0.011
ger,0.006
gereget,0.006
gerenyet,0.006
gigi,0.023
gigit,0.011
gila,0.006
gilir,0.006
gin,0.028
gorila,0.006
gosok,0.006
gratis,0.006
grok,0.011
grup,0.006
gubernur,0.006
gubris,0.006
gugup,0.011
