term,weight
acak,0.009
ada,0.009
adalah,0.019
aduh,0.019
agar,0.028
ah,0.028
aih,0.009
akan,0.038
akhir,0.019
akun,0.028
akwkwk,0.028
akwkwkw,0.019
alaikumsalam,0.009
aman,0.019
amin,0.009
ampun,0.009
an,0.009
anak,0.104
anata,0.019
anda,0.094
andal,0.009
android,0.009
aneh,0.028
anggota,0.019
anti,0.019
aowkwkw,0.009
apa,0.104
api,0.009
arab,0.009
aroma,0.009
arti,0.028
asal,0.009
asli,0.019
astaga,0.019
atas,0.038
atau,0.009
att,0.009
avril,0.009
awal,0.028
awkwkwk,0.009
ayam,0.009
ayo,0.019
bablas,0.009
baca,0.028
bagaimana,0.019
bagi,0.019
bagus,0.057
baik,0.076
bajing,0.009
baju,0.009
bakat,0.019
balas,0.019
balik,0.009
bang,0.009
banri,0.009
banyak,0.028
bareng,0.009
baru,0.028
basic,0.009
baya,0.019
begitu,0.151
belah,0.009
belang,0.009
beli,0.028
belum,0.019
benar,0.066
benarkan,0.009
bensu,0.009
beranda,0.009
berita,0.009
besar,0.019
besok,0.009
betol,0.009
biasa,0.038
bicara,0.009
bila,0.009
bilang,0.019
bingung,0.019
bio,0.009
bisa,0.047
bisky,0.009
blocked,0.009
blodlust,0.009
bo,0.009
bodoh,0.009
bon,0.009
bos,0.009
bosan,0.028
buat,0.076
bubur,0.009
buk,0.028
buka,0.019
bukan,0.019
bulan,0.028
butuh,0.009
cakar,0.009
cakep,0.019
canda,0.009
canis,0.009
cara,0.009
celaka,0.009
celana,0.009
cemil,0.038
cepat,0.019
ceplos,0.009
cerewet,0.009
cetek,0.009
chan,0.009
chanelnya,0.009
cheers,0.009
chel,0.009
choutokyu,0.009
ci,0.009
cipa,0.009
clickbait,0.009
coba,0.028
cocok,0.009
crossover,0.009
cukup,0.009
cuma,0.019
cv,0.009
dalam,0.019
dan,0.009
danuarta,0.009
dapat,0.028
datang,0.009
deh,0.019
dekat,0.009
deli,0.009
demo,0.009
depan,0.009
dewasa,0.009
di,0.019
dia,0.009
dibandingin,0.009
dibuly,0.009
digantin,0.009
dijadin,0.009
dikalahin,0.009
dikerjain,0.009
dilema,0.009
dipangil,0.009
diri,0.009
doang,0.019
dorong,0.009
drama,0.009
dude,0.009
dulu,0.057
duluan,0.009
duo,0.009
dvd,0.009
ebidan,0.019
eh,0.009
eksposur,0.009
elo,0.009
enak,0.028
eng,0.009
engkau,0.019
enmek,0.009
entah,0.009
entar,0.019
evolusi,0.009
facebok,0.009
fakemo,0.009
fans,0.019
filo,0.009
fizi,0.028
fodfes,0.009
foto,0.028
gadis,0.019
gaku,0.009
gambar,0.009
game,0.028
gamemenfes,0.009
ganguan,0.009
ganti,0.019
gantung,0.009
gc,0.009
gelap,0.009
gembira,0.009
gembul,0.009
gemini,0.009
genderuwo,0.009
geprek,0.009
gera,0.019
gigit,0.009
gin,0.028
gobs,0.009
gosa,0.019
gosah,0.009
gowel,0.019
grup,0.019
gs,0.019
gula,0.028
gulir,0.009
gumush,0.028
guru,0.009
guyur,0.009
habis,0.009
hadianya,0.009
haduh,0.009
haha,0.047
hal,0.009
harga,0.009
hari,0.038
harimau,0.019
harus,0.019
has,0.009
henti,0.028
heran,0.009
herlino,0.009
hijau,0.009
hikaru,0.009
hilda,0.009
hore,0.019
hubung,0.019
hujan,0.028
humoris,0.038
hylos,0.019
hyoga,0.019
hypebeast,0.009
ibu,0.028
ide,0.009
ih,0.019
ikut,0.019
ikuti,0.009
ikutin,0.019
in,0.009
indodes,0.009
ingat,0.019
ini,0.094
instagram,0.009
inti,0.009
introvert,0.009
ipin,0.009
isi,0.009
istri,0.009
itu,0.142
jadi,0.151
jail,0.009
jaket,0.009
jalur,0.009
jam,0.009
jaman,0.009
jarang,0.009
jauh,0.009
jelajah,0.009
jelas,0.009
jelek,0.038
jepang,0.009
jepop,0.009
jerome,0.009
jeuh,0.009
jika,0.009
jiwa,0.009
jokes,0.019
jorok,0.009
jual,0.019
juang,0.009
juga,0.009
jumlah,0.019
jumpscare,0.009
juni,0.028
jurus,0.009
kabar,0.028
kacang,0.038
kacau,0.019
kadang,0.019
kalau,0.236
kali,0.028
kamar,0.009
kami,0.009
kamis,0.009
kan,0.076
kanji,0.009
kapal,0.009
kapan,0.009
karier,0.009
kasar,0.009
kasi,0.009
kasur,0.009
kata,0.009
kayak,0.076
kecil,0.019
kegabutanku,0.009
kelian,0.009
keluarga,0.009
keluhanya,0.009
kemarin,0.028
kembar,0.009
kemudi,0.009
ken,0.047
kenal,0.019
kenapa,0.123
kentang,0.028
kepala,0.009
kesal,0.028
ketawain,0.009
ketimbang,0.009
keyon,0.009
khufra,0.009
kids,0.009
kikoeru,0.009
kim,0.009
kiri,0.009
kisah,0.009
klik,0.009
komedi,0.009
kondisi,0.009
konsol,0.009
konyol,0.009
kopi,0.009
kou,0.009
kouko,0.009
kreatif,0.009
kubur,0.009
kuda,0.009
kulit,0.009
