term,weight
ada,0.069
adalah,0.01
adams,0.01
adegan,0.01
adi,0.01
admin,0.118
agar,0.059
aguero,0.01
ahok,0.01
air,0.01
ajar,0.01
akan,0.01
akhir,0.069
akur,0.01
alur,0.01
alzi,0.01
aman,0.02
ambil,0.02
ambyar,0.01
anak,0.049
anda,0.029
angkasa,0.01
angkut,0.01
angkutan,0.01
angsur,0.01
ano,0.01
antar,0.128
anwar,0.01
apa,0.128
apik,0.01
apri,0.01
arab,0.01
arah,0.02
arthur,0.01
arti,0.01
asal,0.02
asensiao,0.01
asing,0.01
atlet,0.01
atletiko,0.01
audisi,0.029
awal,0.01
ayo,0.02
badminton,0.029
bagai,0.01
bagaimana,0.049
bagus,0.029
bahasa,0.029
baik,0.039
bajing,0.01
bakule,0.01
bang,0.039
bantu,0.039
banyak,0.039
bapak,0.098
barca,0.01
bareng,0.01
baru,0.118
basi,0.01
bastoni,0.01
bayar,0.01
beasiswa,0.01
begitu,0.049
bek,0.01
belakang,0.01
belfodil,0.01
beli,0.029
beliau,0.01
belum,0.059
benar,0.039
benvenuto,0.01
benzema,0.01
berapa,0.02
bergkamp,0.01
beri,0.01
berni,0.01
bersihin,0.01
besok,0.01
betul,0.01
biasa,0.049
biasane,0.01
bidang,0.01
bikir,0.01
bingung,0.01
bintang,0.01
bis,0.01
bisa,0.029
blagu,0.01
blkng,0.01
bnp,0.02
bodoh,0.01
bojo,0.01
bojone,0.01
bola,0.01
bongkar,0.01
borja,0.01
boros,0.01
bosan,0.01
bp,0.01
bpjs,0.01
branding,0.01
brngkt,0.01
brozovic,0.01
bruyne,0.01
buat,0.138
bubar,0.01
buka,0.01
bukan,0.029
bukti,0.01
bumbu,0.01
bungkus,0.02
cadang,0.02
cahaya,0.059
cakep,0.01
canceli,0.01
cangkir,0.01
cara,0.029
cari,0.02
carlos,0.01
cavani,0.01
cedera,0.02
cepat,0.02
cerita,0.02
cf,0.01
chan,0.01
che,0.01
chelsea,0.01
chen,0.02
cie,0.01
cina,0.01
cinta,0.01
cium,0.01
coba,0.039
conte,0.01
cukup,0.01
cuma,0.069
dadi,0.01
daftar,0.01
dalberto,0.01
damai,0.01
dan,0.039
dapat,0.049
dari,0.059
daripada,0.01
data,0.02
datang,0.01
david,0.029
davids,0.01
dengan,0.039
denpasar,0.01
depa,0.01
depan,0.049
depay,0.01
deras,0.01
desa,0.01
dewasa,0.01
di,0.059
dibenerin,0.01
dikerjain,0.02
diri,0.01
disnaker,0.01
dituker,0.01
diwei,0.01
djarum,0.059
dokter,0.01
dokumentasi,0.01
donaruma,0.01
dong,0.01
dosa,0.01
dpr,0.01
drama,0.01
duduk,0.01
dukung,0.01
dulu,0.029
dunia,0.02
dybala,0.039
dzeko,0.02
edgar,0.01
edin,0.01
efi,0.01
ego,0.01
eh,0.02
eko,0.02
eksistensi,0.01
el,0.01
elek,0.01
emas,0.01
ember,0.01
empuk,0.01
enak,0.01
era,0.01
erick,0.01
esih,0.02
fahri,0.01
fasilitas,0.01
fei,0.01
fisik,0.01
fisip,0.01
foto,0.02
fukusima,0.01
gabigol,0.01
gadis,0.029
gaji,0.01
ganti,0.029
gari,0.01
gawa,0.01
gawean,0.01
gaya,0.01
gea,0.01
genah,0.01
geser,0.01
gila,0.01
gin,0.02
goh,0.01
golput,0.01
gres,0.01
griezman,0.01
habis,0.029
hai,0.01
hajat,0.01
haji,0.01
hak,0.01
hamzah,0.01
handa,0.01
hangat,0.01
hari,0.049
harum,0.01
hasil,0.02
hati,0.029
henry,0.01
henti,0.02
hidup,0.02
hirota,0.01
hormat,0.01
hubung,0.01
hujan,0.01
hukum,0.01
hulusi,0.01
humas,0.059
hutan,0.01
ibu,0.029
icardi,0.039
ici,0.01
ide,0.01
idola,0.02
ikan,0.01
ikut,0.02
il,0.01
imbang,0.01
in,0.02
indonesia,0.108
informatif,0.01
ingin,0.02
ini,0.02
insigne,0.01
instagram,0.01
internet,0.029
internetan,0.01
isco,0.01
isi,0.01
itu,0.039
iya,0.059
jadi,0.157
